Time,RegionCode,RegionName,CategoryIndex,Category,Value
2012,BG,Bulgaria,1,0-4,0.000000000
2012,BG,Bulgaria,2,5-18,100.000000000
2012,BG,Bulgaria,3,19-64,62.857142857
2012,BG,Bulgaria,4,65+,56.521739130
2012,CY,Cyprus,1,0-4,33.333333333
2012,CY,Cyprus,2,5-18,0.000000000
2012,CY,Cyprus,3,19-64,57.142857143
2012,CY,Cyprus,4,65+,62.500000000
2012,DE,Germany,1,0-4,0.000000000
2012,DE,Germany,2,5-18,0.000000000
2012,DE,Germany,3,19-64,9.090909091
2012,DE,Germany,4,65+,5.479452055
2012,DK,Denmark,1,0-4,0.000000000
2012,DK,Denmark,2,5-18,16.666666667
2012,DK,Denmark,3,19-64,15.384615385
2012,DK,Denmark,4,65+,7.142857143
2012,FR,France,1,0-4,9.375000000
2012,FR,France,2,5-18,0.000000000
2012,FR,France,3,19-64,15.000000000
2012,FR,France,4,65+,12.765957447
2012,HU,Hungary,1,0-4,23.529411765
2012,HU,Hungary,2,5-18,20.000000000
2012,HU,Hungary,3,19-64,67.187500000
2012,HU,Hungary,4,65+,75.647668394
2012,IT,Italy,1,0-4,50.000000000
2012,IT,Italy,2,5-18,50.000000000
2012,IT,Italy,3,19-64,83.050847458
2012,IT,Italy,4,65+,86.792452830
2012,NL,Netherlands,1,0-4,0.000000000
2012,NL,Netherlands,2,5-18,0.000000000
2012,NL,Netherlands,3,19-64,2.564102564
2012,NL,Netherlands,4,65+,7.317073171
2012,NO,Norway,1,0-4,0.000000000
2012,NO,Norway,2,5-18,0.000000000
2012,NO,Norway,3,19-64,0.000000000
2012,NO,Norway,4,65+,7.142857143
2012,PL,Poland,1,0-4,40.000000000
2012,PL,Poland,2,5-18,50.000000000
2012,PL,Poland,3,19-64,75.438596491
2012,PL,Poland,4,65+,68.750000000
2012,PT,Portugal,1,0-4,0.000000000
2012,PT,Portugal,2,5-18,0.000000000
2012,PT,Portugal,3,19-64,61.764705882
2012,PT,Portugal,4,65+,70.103092784
2012,RO,Romania,1,0-4,25.000000000
2012,RO,Romania,2,5-18,100.000000000
2012,RO,Romania,3,19-64,55.882352941
2012,RO,Romania,4,65+,66.666666667
2012,SI,Slovenia,2,5-18,0.000000000
2012,SI,Slovenia,3,19-64,9.090909091
2012,SI,Slovenia,4,65+,30.769230769
2012,UK,United Kingdom,1,0-4,0.000000000
2012,UK,United Kingdom,2,5-18,0.000000000
2012,UK,United Kingdom,3,19-64,1.851851852
2012,UK,United Kingdom,4,65+,5.555555556
2013,AT,Austria,1,0-4,0.000000000
2013,AT,Austria,3,19-64,16.666666667
2013,AT,Austria,4,65+,6.451612903
2013,BG,Bulgaria,1,0-4,0.000000000
2013,BG,Bulgaria,2,5-18,66.666666667
2013,BG,Bulgaria,3,19-64,56.862745098
2013,BG,Bulgaria,4,65+,60.000000000
2013,CY,Cyprus,1,0-4,0.000000000
2013,CY,Cyprus,3,19-64,85.714285714
2013,CY,Cyprus,4,65+,80.000000000
2013,CZ,Czechia,1,0-4,0.000000000
2013,CZ,Czechia,2,5-18,0.000000000
2013,CZ,Czechia,3,19-64,29.032258065
2013,CZ,Czechia,4,65+,9.090909091
2013,DE,Germany,1,0-4,0.000000000
2013,DE,Germany,2,5-18,0.000000000
2013,DE,Germany,3,19-64,10.526315789
2013,DE,Germany,4,65+,4.424778761
2013,DK,Denmark,1,0-4,0.000000000
2013,DK,Denmark,2,5-18,0.000000000
2013,DK,Denmark,3,19-64,0.000000000
2013,DK,Denmark,4,65+,2.564102564
2013,ES,Spain,1,0-4,0.000000000
2013,ES,Spain,2,5-18,100.000000000
2013,ES,Spain,3,19-64,75.675675676
2013,ES,Spain,4,65+,62.162162162
2013,FI,Finland,1,0-4,0.000000000
2013,FI,Finland,2,5-18,0.000000000
2013,FI,Finland,3,19-64,0.000000000
2013,FI,Finland,4,65+,0.000000000
2013,FR,France,1,0-4,0.000000000
2013,FR,France,2,5-18,0.000000000
2013,FR,France,3,19-64,16.230366492
2013,FR,France,4,65+,8.928571429
2013,HR,Croatia,1,0-4,57.142857143
2013,HR,Croatia,2,5-18,0.000000000
2013,HR,Croatia,3,19-64,82.500000000
2013,HR,Croatia,4,65+,88.888888889
2013,HU,Hungary,1,0-4,17.647058824
2013,HU,Hungary,2,5-18,50.000000000
2013,HU,Hungary,3,19-64,72.398190045
2013,HU,Hungary,4,65+,59.024390244
2013,IE,Ireland,1,0-4,6.666666667
2013,IE,Ireland,2,5-18,0.000000000
2013,IE,Ireland,3,19-64,0.000000000
2013,IE,Ireland,4,65+,0.000000000
2013,IT,Italy,1,0-4,33.333333333
2013,IT,Italy,2,5-18,100.000000000
2013,IT,Italy,3,19-64,82.926829268
2013,IT,Italy,4,65+,82.222222222
2013,NL,Netherlands,1,0-4,0.000000000
2013,NL,Netherlands,2,5-18,0.000000000
2013,NL,Netherlands,3,19-64,0.000000000
2013,NL,Netherlands,4,65+,6.122448980
2013,NO,Norway,1,0-4,0.000000000
2013,NO,Norway,2,5-18,0.000000000
2013,NO,Norway,3,19-64,0.000000000
2013,NO,Norway,4,65+,4.545454545
2013,PL,Poland,1,0-4,0.000000000
2013,PL,Poland,2,5-18,66.666666667
2013,PL,Poland,3,19-64,76.991150442
2013,PL,Poland,4,65+,70.833333333
2013,PT,Portugal,1,0-4,11.111111111
2013,PT,Portugal,2,5-18,14.285714286
2013,PT,Portugal,3,19-64,52.040816327
2013,PT,Portugal,4,65+,66.379310345
2013,RO,Romania,1,0-4,71.428571429
2013,RO,Romania,2,5-18,50.000000000
2013,RO,Romania,3,19-64,76.829268293
2013,RO,Romania,4,65+,92.105263158
2013,SE,Sweden,1,0-4,11.111111111
2013,SE,Sweden,2,5-18,50.000000000
2013,SE,Sweden,3,19-64,0.000000000
2013,SE,Sweden,4,65+,6.382978723
2013,SI,Slovenia,1,0-4,0.000000000
2013,SI,Slovenia,2,5-18,0.000000000
2013,SI,Slovenia,3,19-64,25.000000000
2013,SI,Slovenia,4,65+,13.333333333
2013,SK,Slovakia,1,0-4,0.000000000
2013,SK,Slovakia,2,5-18,12.500000000
2013,SK,Slovakia,3,19-64,47.560975610
2013,SK,Slovakia,4,65+,43.956043956
2013,UK,United Kingdom,1,0-4,0.000000000
2013,UK,United Kingdom,2,5-18,6.250000000
2013,UK,United Kingdom,3,19-64,2.439024390
2013,UK,United Kingdom,4,65+,2.083333333
2014,AT,Austria,1,0-4,0.000000000
2014,AT,Austria,2,5-18,0.000000000
2014,AT,Austria,3,19-64,10.256410256
