Time,RegionCode,RegionName,CategoryIndex,Category,Value
2012,BG,Bulgaria,1,0-4,50.000000000
2012,BG,Bulgaria,2,5-18,100.000000000
2012,BG,Bulgaria,3,19-64,70.000000000
2012,BG,Bulgaria,4,65+,47.619047619
2012,CY,Cyprus,1,0-4,66.666666667
2012,CY,Cyprus,2,5-18,0.000000000
2012,CY,Cyprus,3,19-64,57.142857143
2012,CY,Cyprus,4,65+,62.500000000
2012,DE,Germany,1,0-4,0.000000000
2012,DE,Germany,2,5-18,0.000000000
2012,DE,Germany,3,19-64,18.181818182
2012,DE,Germany,4,65+,2.666666667
2012,DK,Denmark,1,0-4,0.000000000
2012,DK,Denmark,2,5-18,25.000000000
2012,DK,Denmark,3,19-64,10.000000000
2012,DK,Denmark,4,65+,8.108108108
2012,FR,France,1,0-4,0.000000000
2012,FR,France,2,5-18,0.000000000
2012,FR,France,3,19-64,5.405405405
2012,FR,France,4,65+,2.068965517
2012,HU,Hungary,1,0-4,11.764705882
2012,HU,Hungary,2,5-18,0.000000000
2012,HU,Hungary,3,19-64,56.281407035
2012,HU,Hungary,4,65+,44.162436548
2012,NL,Netherlands,1,0-4,0.000000000
2012,NL,Netherlands,2,5-18,0.000000000
2012,NL,Netherlands,3,19-64,5.263157895
2012,NL,Netherlands,4,65+,7.692307692
2012,NO,Norway,1,0-4,0.000000000
2012,NO,Norway,2,5-18,0.000000000
2012,NO,Norway,3,19-64,0.000000000
2012,NO,Norway,4,65+,0.000000000
2012,PL,Poland,1,0-4,20.000000000
2012,PL,Poland,2,5-18,50.000000000
2012,PL,Poland,3,19-64,38.596491228
2012,PL,Poland,4,65+,39.506172840
2012,PT,Portugal,1,0-4,66.666666667
2012,PT,Portugal,2,5-18,0.000000000
2012,PT,Portugal,3,19-64,73.134328358
2012,PT,Portugal,4,65+,84.536082474
2012,RO,Romania,1,0-4,50.000000000
2012,RO,Romania,2,5-18,100.000000000
2012,RO,Romania,3,19-64,79.411764706
2012,RO,Romania,4,65+,93.333333333
2012,SI,Slovenia,2,5-18,0.000000000
2012,SI,Slovenia,3,19-64,27.272727273
2012,SI,Slovenia,4,65+,23.076923077
2012,UK,United Kingdom,1,0-4,0.000000000
2012,UK,United Kingdom,2,5-18,0.000000000
2012,UK,United Kingdom,3,19-64,0.000000000
2012,UK,United Kingdom,4,65+,7.142857143
2013,AT,Austria,1,0-4,0.000000000
2013,AT,Austria,3,19-64,11.111111111
2013,AT,Austria,4,65+,6.451612903
2013,BG,Bulgaria,1,0-4,0.000000000
2013,BG,Bulgaria,2,5-18,0.000000000
2013,BG,Bulgaria,3,19-64,74.509803922
2013,BG,Bulgaria,4,65+,42.307692308
2013,CY,Cyprus,1,0-4,0.000000000
2013,CY,Cyprus,3,19-64,85.714285714
2013,CY,Cyprus,4,65+,80.000000000
2013,CZ,Czechia,1,0-4,0.000000000
2013,CZ,Czechia,2,5-18,0.000000000
2013,CZ,Czechia,3,19-64,12.903225806
2013,CZ,Czechia,4,65+,0.000000000
2013,DE,Germany,1,0-4,0.000000000
2013,DE,Germany,2,5-18,0.000000000
2013,DE,Germany,3,19-64,15.789473684
2013,DE,Germany,4,65+,6.194690265
2013,DK,Denmark,1,0-4,0.000000000
2013,DK,Denmark,2,5-18,0.000000000
2013,DK,Denmark,3,19-64,0.000000000
2013,DK,Denmark,4,65+,3.333333333
2013,ES,Spain,1,0-4,0.000000000
2013,ES,Spain,2,5-18,100.000000000
2013,ES,Spain,3,19-64,76.470588235
2013,ES,Spain,4,65+,75.609756098
2013,FI,Finland,1,0-4,0.000000000
2013,FI,Finland,2,5-18,0.000000000
2013,FI,Finland,3,19-64,0.000000000
2013,FI,Finland,4,65+,0.000000000
2013,FR,France,1,0-4,0.000000000
2013,FR,France,2,5-18,0.000000000
2013,FR,France,3,19-64,8.808290155
2013,FR,France,4,65+,4.294478528
2013,HR,Croatia,1,0-4,0.000000000
2013,HR,Croatia,2,5-18,100.000000000
