Time,RegionCode,RegionName,CategoryIndex,Category,Value
2012,BG,Bulgaria,1,0-4,0.000000000
2012,BG,Bulgaria,2,5-18,100.000000000
2012,BG,Bulgaria,3,19-64,74.285714286
2012,BG,Bulgaria,4,65+,65.217391304
2012,CY,Cyprus,1,0-4,33.333333333
2012,CY,Cyprus,2,5-18,0.000000000
2012,CY,Cyprus,3,19-64,57.142857143
2012,CY,Cyprus,4,65+,62.500000000
2012,DE,Germany,1,0-4,0.000000000
2012,DE,Germany,2,5-18,0.000000000
2012,DE,Germany,3,19-64,12.121212121
2012,DE,Germany,4,65+,8.000000000
2012,DK,Denmark,1,0-4,0.000000000
2012,DK,Denmark,2,5-18,16.666666667
2012,DK,Denmark,3,19-64,14.814814815
2012,DK,Denmark,4,65+,10.638297872
2012,FR,France,1,0-4,0.000000000
2012,FR,France,2,5-18,0.000000000
2012,FR,France,3,19-64,21.428571429
2012,FR,France,4,65+,14.482758621
2012,HU,Hungary,1,0-4,12.500000000
2012,HU,Hungary,2,5-18,0.000000000
2012,HU,Hungary,3,19-64,82.291666667
2012,HU,Hungary,4,65+,81.250000000
2012,NL,Netherlands,1,0-4,25.000000000
2012,NL,Netherlands,2,5-18,0.000000000
2012,NL,Netherlands,3,19-64,5.000000000
2012,NL,Netherlands,4,65+,7.142857143
2012,NO,Norway,1,0-4,0.000000000
2012,NO,Norway,2,5-18,0.000000000
2012,NO,Norway,3,19-64,0.000000000
2012,NO,Norway,4,65+,0.000000000
2012,PL,Poland,1,0-4,50.000000000
2012,PL,Poland,2,5-18,50.000000000
2012,PL,Poland,3,19-64,80.701754386
2012,PL,Poland,4,65+,78.750000000
2012,PT,Portugal,1,0-4,33.333333333
2012,PT,Portugal,2,5-18,0.000000000
2012,PT,Portugal,3,19-64,70.149253731
2012,PT,Portugal,4,65+,84.536082474
2012,RO,Romania,1,0-4,25.000000000
2012,RO,Romania,2,5-18,100.000000000
2012,RO,Romania,3,19-64,94.117647059
2012,RO,Romania,4,65+,93.333333333
2012,SI,Slovenia,2,5-18,0.000000000
2012,SI,Slovenia,3,19-64,27.272727273
2012,SI,Slovenia,4,65+,30.769230769
2012,UK,United Kingdom,1,0-4,0.000000000
2012,UK,United Kingdom,2,5-18,0.000000000
2012,UK,United Kingdom,3,19-64,3.921568627
2012,UK,United Kingdom,4,65+,2.777777778
2013,AT,Austria,1,0-4,0.000000000
2013,AT,Austria,3,19-64,22.222222222
2013,AT,Austria,4,65+,22.580645161
2013,BG,Bulgaria,1,0-4,0.000000000
2013,BG,Bulgaria,2,5-18,66.666666667
2013,BG,Bulgaria,3,19-64,75.471698113
2013,BG,Bulgaria,4,65+,73.076923077
2013,CY,Cyprus,1,0-4,0.000000000
2013,CY,Cyprus,3,19-64,85.714285714
2013,CY,Cyprus,4,65+,80.000000000
2013,CZ,Czechia,1,0-4,33.333333333
2013,CZ,Czechia,2,5-18,0.000000000
2013,CZ,Czechia,3,19-64,32.258064516
2013,CZ,Czechia,4,65+,12.727272727
2013,DE,Germany,1,0-4,0.000000000
2013,DE,Germany,2,5-18,0.000000000
2013,DE,Germany,3,19-64,18.867924528
2013,DE,Germany,4,65+,6.250000000
2013,DK,Denmark,1,0-4,0.000000000
2013,DK,Denmark,2,5-18,0.000000000
2013,DK,Denmark,3,19-64,4.347826087
2013,DK,Denmark,4,65+,9.756097561
2013,ES,Spain,1,0-4,0.000000000
2013,ES,Spain,2,5-18,100.000000000
2013,ES,Spain,3,19-64,77.777777778
2013,ES,Spain,4,65+,67.567567568
2013,FI,Finland,1,0-4,0.000000000
2013,FI,Finland,2,5-18,0.000000000
2013,FI,Finland,3,19-64,0.000000000
2013,FI,Finland,4,65+,4.761904762
2013,FR,France,1,0-4,0.000000000
2013,FR,France,2,5-18,0.000000000
2013,FR,France,3,19-64,15.760869565
2013,FR,France,4,65+,14.634146341
2013,HR,Croatia,1,0-4,28.571428571
2013,HR,Croatia,2,5-18,100.000000000
2013,HR,Croatia,3,19-64,92.500000000
2013,HR,Croatia,4,65+,100.000000000
2013,HU,Hungary,1,0-4,18.750000000
2013,HU,Hungary,2,5-18,53.333333333
2013,HU,Hungary,3,19-64,80.454545455
2013,HU,Hungary,4,65+,73.300970874
2013,IE,Ireland,1,0-4,0.000000000
2013,IE,Ireland,2,5-18,0.000000000
2013,IE,Ireland,3,19-64,2.631578947
2013,IE,Ireland,4,65+,0.000000000
2013,IT,Italy,1,0-4,50.000000000
2013,IT,Italy,2,5-18,100.000000000
2013,IT,Italy,3,19-64,82.945736434
2013,IT,Italy,4,65+,81.884057971
2013,NL,Netherlands,1,0-4,0.000000000
2013,NL,Netherlands,2,5-18,0.000000000
2013,NL,Netherlands,3,19-64,0.000000000
2013,NL,Netherlands,4,65+,6.000000000
2013,NO,Norway,1,0-4,0.000000000
2013,NO,Norway,2,5-18,0.000000000
2013,NO,Norway,3,19-64,0.000000000
2013,NO,Norway,4,65+,0.000000000
2013,PL,Poland,1,0-4,0.000000000
2013,PL,Poland,2,5-18,66.666666667
2013,PL,Poland,3,19-64,82.142857143
2013,PL,Poland,4,65+,84.285714286
2013,PT,Portugal,1,0-4,28.571428571
2013,PT,Portugal,2,5-18,0.000000000
2013,PT,Portugal,3,19-64,69.072164948
2013,PT,Portugal,4,65+,76.106194690
2013,RO,Romania,1,0-4,71.428571429
2013,RO,Romania,2,5-18,100.000000000
2013,RO,Romania,3,19-64,90.243902439
2013,RO,Romania,4,65+,97.368421053
2013,SE,Sweden,1,0-4,11.111111111
2013,SE,Sweden,2,5-18,0.000000000
2013,SE,Sweden,3,19-64,0.000000000
2013,SE,Sweden,4,65+,6.382978723
2013,SI,Slovenia,1,0-4,0.000000000
2013,SI,Slovenia,2,5-18,0.000000000
2013,SI,Slovenia,3,19-64,50.000000000
2013,SI,Slovenia,4,65+,20.000000000
2013,SK,Slovakia,1,0-4,16.666666667
2013,SK,Slovakia,2,5-18,25.000000000
2013,SK,Slovakia,3,19-64,60.240963855
2013,SK,Slovakia,4,65+,62.637362637
2013,UK,United Kingdom,1,0-4,0.000000000
2013,UK,United Kingdom,2,5-18,12.500000000
2013,UK,United Kingdom,3,19-64,2.439024390
2013,UK,United Kingdom,4,65+,4.000000000
2014,AT,Austria,1,0-4,0.000000000
2014,AT,Austria,2,5-18,0.000000000
2014,AT,Austria,3,19-64,8.108108108
2014,AT,Austria,4,65+,3.030303030
2014,BG,Bulgaria,1,0-4,50.000000000
2014,BG,Bulgaria,3,19-64,83.333333333
2014,BG,Bulgaria,4,65+,65.714285714
