Time,RegionCode,RegionName,CategoryIndex,Category,Value
2000,DE,Germany,1,0-4,0.000000000
2000,DE,Germany,3,19-64,0.000000000
2000,DE,Germany,4,65+,0.000000000
2000,NL,Netherlands,1,0-4,0.000000000
2000,NL,Netherlands,3,19-64,0.000000000
2000,NL,Netherlands,4,65+,0.000000000
2000,NO,Norway,1,0-4,0.000000000
2000,NO,Norway,2,5-18,0.000000000
2000,NO,Norway,3,19-64,9.523809524
2000,NO,Norway,4,65+,0.000000000
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,3,19-64,4.545454545
2001,AT,Austria,4,65+,21.739130435
2001,BE,Belgium,1,0-4,0.000000000
2001,BE,Belgium,3,19-64,0.000000000
2001,BE,Belgium,4,65+,0.000000000
2001,CZ,Czechia,1,0-4,0.000000000
2001,CZ,Czechia,2,5-18,12.500000000
2001,CZ,Czechia,3,19-64,2.673796791
2001,CZ,Czechia,4,65+,3.333333333
2001,DE,Germany,1,0-4,0.000000000
2001,DE,Germany,3,19-64,3.370786517
2001,DE,Germany,4,65+,1.639344262
2001,ES,Spain,1,0-4,6.666666667
2001,ES,Spain,2,5-18,0.000000000
2001,ES,Spain,3,19-64,2.857142857
2001,ES,Spain,4,65+,1.840490798
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,2,5-18,0.000000000
2001,FI,Finland,3,19-64,2.941176471
2001,FI,Finland,4,65+,0.000000000
2001,HR,Croatia,1,0-4,25.000000000
2001,HR,Croatia,3,19-64,22.222222222
2001,HR,Croatia,4,65+,5.263157895
2001,HU,Hungary,1,0-4,50.000000000
2001,HU,Hungary,2,5-18,0.000000000
2001,HU,Hungary,3,19-64,4.347826087
2001,HU,Hungary,4,65+,3.846153846
2001,IT,Italy,1,0-4,16.666666667
2001,IT,Italy,2,5-18,0.000000000
2001,IT,Italy,3,19-64,7.017543860
2001,IT,Italy,4,65+,1.869158879
2001,LU,Luxembourg,2,5-18,0.000000000
2001,LU,Luxembourg,3,19-64,0.000000000
2001,LU,Luxembourg,4,65+,0.000000000
2001,NL,Netherlands,1,0-4,9.090909091
2001,NL,Netherlands,2,5-18,0.000000000
2001,NL,Netherlands,3,19-64,0.000000000
2001,NL,Netherlands,4,65+,1.111111111
2001,NO,Norway,1,0-4,0.000000000
2001,NO,Norway,2,5-18,0.000000000
2001,NO,Norway,3,19-64,7.692307692
2001,NO,Norway,4,65+,0.000000000
2001,PL,Poland,1,0-4,25.000000000
2001,PL,Poland,2,5-18,50.000000000
2001,PL,Poland,3,19-64,0.000000000
2001,PL,Poland,4,65+,0.000000000
2001,PT,Portugal,1,0-4,0.000000000
2001,PT,Portugal,2,5-18,0.000000000
2001,PT,Portugal,3,19-64,0.000000000
2001,PT,Portugal,4,65+,6.097560976
2001,SE,Sweden,1,0-4,0.000000000
2001,SE,Sweden,2,5-18,0.000000000
2001,SE,Sweden,3,19-64,0.000000000
2001,SE,Sweden,4,65+,0.306748466
2001,SI,Slovenia,1,0-4,0.000000000
2001,SI,Slovenia,3,19-64,0.000000000
2001,SI,Slovenia,4,65+,0.000000000
2002,AT,Austria,1,0-4,0.000000000
2002,AT,Austria,2,5-18,0.000000000
2002,AT,Austria,3,19-64,3.389830508
2002,AT,Austria,4,65+,2.857142857
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,2,5-18,0.000000000
2002,BE,Belgium,3,19-64,0.000000000
2002,BE,Belgium,4,65+,0.000000000
2002,BG,Bulgaria,1,0-4,0.000000000
2002,BG,Bulgaria,3,19-64,28.571428571
2002,BG,Bulgaria,4,65+,33.333333333
2002,CZ,Czechia,1,0-4,0.000000000
2002,CZ,Czechia,2,5-18,0.000000000
2002,CZ,Czechia,3,19-64,1.250000000
2002,CZ,Czechia,4,65+,2.531645570
2002,DE,Germany,1,0-4,0.000000000
2002,DE,Germany,3,19-64,1.123595506
2002,DE,Germany,4,65+,2.362204724
2002,ES,Spain,1,0-4,4.000000000
2002,ES,Spain,2,5-18,0.000000000
2002,ES,Spain,3,19-64,1.360544218
2002,ES,Spain,4,65+,1.908396947
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,2,5-18,0.000000000
2002,FI,Finland,3,19-64,1.587301587
2002,FI,Finland,4,65+,2.702702703
2002,FR,France,1,0-4,0.000000000
2002,FR,France,2,5-18,33.333333333
2002,FR,France,3,19-64,1.020408163
2002,FR,France,4,65+,3.883495146
2002,HR,Croatia,1,0-4,0.000000000
2002,HR,Croatia,2,5-18,0.000000000
2002,HR,Croatia,3,19-64,6.666666667
2002,HR,Croatia,4,65+,5.714285714
2002,HU,Hungary,1,0-4,0.000000000
2002,HU,Hungary,2,5-18,0.000000000
2002,HU,Hungary,3,19-64,1.234567901
2002,HU,Hungary,4,65+,0.000000000
