Time,RegionCode,RegionName,CategoryIndex,Category,Value
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,3,19-64,30.000000000
2001,AT,Austria,4,65+,41.666666667
2001,BE,Belgium,1,0-4,0.000000000
2001,BE,Belgium,3,19-64,12.500000000
2001,BE,Belgium,4,65+,25.000000000
2001,BG,Bulgaria,1,0-4,0.000000000
2001,BG,Bulgaria,3,19-64,20.000000000
2001,BG,Bulgaria,4,65+,44.444444444
2001,CZ,Czechia,1,0-4,15.000000000
2001,CZ,Czechia,2,5-18,25.000000000
2001,CZ,Czechia,3,19-64,37.837837838
2001,CZ,Czechia,4,65+,42.134831461
2001,DE,Germany,1,0-4,0.000000000
2001,DE,Germany,3,19-64,36.111111111
2001,DE,Germany,4,65+,29.729729730
2001,ES,Spain,1,0-4,8.333333333
2001,ES,Spain,2,5-18,50.000000000
2001,ES,Spain,3,19-64,34.482758621
2001,ES,Spain,4,65+,32.653061224
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,3,19-64,22.222222222
2001,FI,Finland,4,65+,26.666666667
2001,HR,Croatia,1,0-4,50.000000000
2001,HR,Croatia,3,19-64,66.666666667
2001,HR,Croatia,4,65+,42.105263158
2001,IT,Italy,1,0-4,100.000000000
2001,IT,Italy,2,5-18,66.666666667
2001,IT,Italy,3,19-64,34.090909091
2001,IT,Italy,4,65+,25.352112676
2001,NL,Netherlands,1,0-4,20.000000000
2001,NL,Netherlands,2,5-18,0.000000000
2001,NL,Netherlands,3,19-64,40.909090909
2001,NL,Netherlands,4,65+,16.666666667
2001,NO,Norway,1,0-4,33.333333333
2001,NO,Norway,3,19-64,75.000000000
2001,NO,Norway,4,65+,35.294117647
2001,PL,Poland,1,0-4,25.000000000
2001,PL,Poland,2,5-18,50.000000000
2001,PL,Poland,3,19-64,50.000000000
2001,PL,Poland,4,65+,40.000000000
2001,PT,Portugal,2,5-18,100.000000000
2001,PT,Portugal,3,19-64,26.000000000
2001,PT,Portugal,4,65+,35.526315789
2001,SI,Slovenia,1,0-4,14.285714286
2001,SI,Slovenia,3,19-64,38.461538462
2001,SI,Slovenia,4,65+,40.000000000
2002,AT,Austria,1,0-4,25.000000000
2002,AT,Austria,3,19-64,21.739130435
2002,AT,Austria,4,65+,34.482758621
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,2,5-18,100.000000000
2002,BE,Belgium,3,19-64,16.666666667
2002,BE,Belgium,4,65+,21.590909091
2002,BG,Bulgaria,1,0-4,25.000000000
2002,BG,Bulgaria,3,19-64,71.428571429
2002,BG,Bulgaria,4,65+,66.666666667
2002,CZ,Czechia,1,0-4,11.538461538
2002,CZ,Czechia,2,5-18,0.000000000
2002,CZ,Czechia,3,19-64,45.000000000
2002,CZ,Czechia,4,65+,37.130801688
2002,DE,Germany,3,19-64,39.130434783
2002,DE,Germany,4,65+,45.000000000
2002,ES,Spain,1,0-4,32.500000000
2002,ES,Spain,2,5-18,33.333333333
2002,ES,Spain,3,19-64,44.186046512
2002,ES,Spain,4,65+,34.567901235
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,3,19-64,0.000000000
2002,FI,Finland,4,65+,18.181818182
2002,FR,France,1,0-4,5.555555556
2002,FR,France,2,5-18,20.000000000
2002,FR,France,3,19-64,16.778523490
2002,FR,France,4,65+,14.970059880
2002,HR,Croatia,1,0-4,33.333333333
2002,HR,Croatia,2,5-18,25.000000000
2002,HR,Croatia,3,19-64,50.000000000
2002,HR,Croatia,4,65+,34.285714286
2002,IE,Ireland,1,0-4,0.000000000
2002,IE,Ireland,3,19-64,47.368421053
2002,IE,Ireland,4,65+,33.333333333
2002,IT,Italy,1,0-4,30.000000000
2002,IT,Italy,2,5-18,33.333333333
2002,IT,Italy,3,19-64,37.837837838
2002,IT,Italy,4,65+,46.341463415
2002,MT,Malta,1,0-4,0.000000000
2002,MT,Malta,3,19-64,8.333333333
2002,MT,Malta,4,65+,26.666666667
2002,NL,Netherlands,1,0-4,27.272727273
2002,NL,Netherlands,2,5-18,0.000000000
2002,NL,Netherlands,3,19-64,46.153846154
2002,NL,Netherlands,4,65+,42.424242424
2002,NO,Norway,1,0-4,0.000000000
2002,NO,Norway,2,5-18,0.000000000
2002,NO,Norway,3,19-64,40.000000000
2002,NO,Norway,4,65+,32.000000000
2002,PL,Poland,1,0-4,16.666666667
2002,PL,Poland,3,19-64,43.750000000
2002,PL,Poland,4,65+,47.368421053
2002,PT,Portugal,1,0-4,0.000000000
2002,PT,Portugal,2,5-18,100.000000000
2002,PT,Portugal,3,19-64,8.333333333
2002,PT,Portugal,4,65+,37.500000000
2002,SI,Slovenia,1,0-4,0.000000000
2002,SI,Slovenia,2,5-18,100.000000000
2002,SI,Slovenia,3,19-64,66.666666667
2002,SI,Slovenia,4,65+,50.000000000
2002,SK,Slovakia,1,0-4,50.000000000
2002,SK,Slovakia,2,5-18,25.000000000
2002,SK,Slovakia,3,19-64,34.482758621
2002,SK,Slovakia,4,65+,32.258064516
2003,AT,Austria,1,0-4,33.333333333
2003,AT,Austria,3,19-64,34.482758621
2003,AT,Austria,4,65+,32.000000000
2003,BE,Belgium,1,0-4,0.000000000
2003,BE,Belgium,2,5-18,0.000000000
2003,BE,Belgium,3,19-64,16.216216216
2003,BE,Belgium,4,65+,19.178082192
2003,BG,Bulgaria,1,0-4,0.000000000
2003,BG,Bulgaria,2,5-18,0.000000000
2003,BG,Bulgaria,3,19-64,40.909090909
2003,BG,Bulgaria,4,65+,43.750000000
2003,CZ,Czechia,1,0-4,3.125000000
2003,CZ,Czechia,2,5-18,16.666666667
2003,CZ,Czechia,3,19-64,50.413223140
2003,CZ,Czechia,4,65+,44.680851064
2003,DE,Germany,3,19-64,52.380952381
2003,DE,Germany,4,65+,44.186046512
2003,ES,Spain,1,0-4,11.627906977
2003,ES,Spain,2,5-18,0.000000000
2003,ES,Spain,3,19-64,35.526315789
2003,ES,Spain,4,65+,41.666666667
2003,FI,Finland,1,0-4,0.000000000
2003,FI,Finland,3,19-64,35.714285714
2003,FI,Finland,4,65+,46.666666667
2003,FR,France,1,0-4,0.000000000
2003,FR,France,2,5-18,0.000000000
2003,FR,France,3,19-64,17.391304348
2003,FR,France,4,65+,16.184971098
2003,HR,Croatia,1,0-4,16.666666667
2003,HR,Croatia,3,19-64,20.833333333
2003,HR,Croatia,4,65+,33.333333333
2003,HU,Hungary,1,0-4,100.000000000
2003,HU,Hungary,3,19-64,85.294117647
2003,HU,Hungary,4,65+,88.235294118
2003,IE,Ireland,1,0-4,6.666666667
2003,IE,Ireland,2,5-18,0.000000000
2003,IE,Ireland,3,19-64,33.846153846
2003,IE,Ireland,4,65+,34.408602151
2003,IT,Italy,1,0-4,33.333333333
2003,IT,Italy,2,5-18,0.000000000
2003,IT,Italy,3,19-64,41.176470588
2003,IT,Italy,4,65+,38.194444444
2003,LU,Luxembourg,1,0-4,0.000000000
2003,LU,Luxembourg,3,19-64,23.529411765
2003,LU,Luxembourg,4,65+,43.750000000
2003,NL,Netherlands,1,0-4,9.090909091
2003,NL,Netherlands,2,5-18,100.000000000
2003,NL,Netherlands,3,19-64,39.583333333
2003,NL,Netherlands,4,65+,16.129032258
2003,NO,Norway,3,19-64,12.500000000
2003,NO,Norway,4,65+,47.619047619
2003,PL,Poland,1,0-4,0.000000000
2003,PL,Poland,2,5-18,0.000000000
2003,PL,Poland,3,19-64,38.888888889
2003,PL,Poland,4,65+,61.904761905
2003,PT,Portugal,1,0-4,40.000000000
2003,PT,Portugal,2,5-18,50.000000000
2003,PT,Portugal,3,19-64,32.978723404
2003,PT,Portugal,4,65+,36.507936508
2003,SE,Sweden,1,0-4,4.347826087
2003,SE,Sweden,2,5-18,50.000000000
2003,SE,Sweden,3,19-64,16.521739130
2003,SE,Sweden,4,65+,17.333333333
2003,SI,Slovenia,1,0-4,0.000000000
2003,SI,Slovenia,3,19-64,53.333333333
2003,SI,Slovenia,4,65+,64.285714286
2003,SK,Slovakia,1,0-4,33.333333333
2003,SK,Slovakia,3,19-64,34.375000000
2003,SK,Slovakia,4,65+,35.000000000
2004,AT,Austria,1,0-4,11.111111111
2004,AT,Austria,3,19-64,16.949152542
2004,AT,Austria,4,65+,27.350427350
2004,BE,Belgium,1,0-4,0.000000000
2004,BE,Belgium,3,19-64,13.725490196
2004,BE,Belgium,4,65+,28.723404255
2004,BG,Bulgaria,1,0-4,20.000000000
2004,BG,Bulgaria,3,19-64,39.130434783
2004,BG,Bulgaria,4,65+,28.571428571
2004,CZ,Czechia,1,0-4,20.000000000
2004,CZ,Czechia,2,5-18,71.428571429
2004,CZ,Czechia,3,19-64,45.267489712
2004,CZ,Czechia,4,65+,42.086330935
2004,DE,Germany,1,0-4,0.000000000
2004,DE,Germany,3,19-64,55.813953488
2004,DE,Germany,4,65+,33.823529412
2004,EE,Estonia,1,0-4,33.333333333
2004,EE,Estonia,2,5-18,100.000000000
2004,EE,Estonia,3,19-64,18.750000000
2004,EE,Estonia,4,65+,43.750000000
2004,ES,Spain,1,0-4,16.666666667
2004,ES,Spain,2,5-18,20.000000000
2004,ES,Spain,3,19-64,36.871508380
2004,ES,Spain,4,65+,38.392857143
2004,FI,Finland,1,0-4,16.666666667
2004,FI,Finland,2,5-18,0.000000000
2004,FI,Finland,3,19-64,46.875000000
2004,FI,Finland,4,65+,37.878787879
2004,FR,France,1,0-4,0.000000000
2004,FR,France,2,5-18,25.000000000
2004,FR,France,3,19-64,15.104166667
2004,FR,France,4,65+,17.192982456
2004,HR,Croatia,1,0-4,37.500000000
2004,HR,Croatia,2,5-18,0.000000000
2004,HR,Croatia,3,19-64,35.714285714
2004,HR,Croatia,4,65+,35.483870968
2004,HU,Hungary,1,0-4,28.571428571
2004,HU,Hungary,2,5-18,66.666666667
2004,HU,Hungary,3,19-64,61.111111111
2004,HU,Hungary,4,65+,53.535353535
2004,IE,Ireland,1,0-4,8.333333333
2004,IE,Ireland,2,5-18,66.666666667
2004,IE,Ireland,3,19-64,40.000000000
2004,IE,Ireland,4,65+,46.551724138
2004,IT,Italy,1,0-4,0.000000000
2004,IT,Italy,2,5-18,0.000000000
2004,IT,Italy,3,19-64,35.135135135
2004,IT,Italy,4,65+,38.095238095
2004,LU,Luxembourg,1,0-4,0.000000000
2004,LU,Luxembourg,3,19-64,25.000000000
2004,LU,Luxembourg,4,65+,14.285714286
2004,MT,Malta,1,0-4,0.000000000
2004,MT,Malta,3,19-64,46.153846154
2004,MT,Malta,4,65+,50.000000000
2004,NL,Netherlands,1,0-4,8.333333333
2004,NL,Netherlands,2,5-18,66.666666667
2004,NL,Netherlands,3,19-64,42.592592593
2004,NL,Netherlands,4,65+,36.666666667
2004,NO,Norway,3,19-64,25.000000000
2004,NO,Norway,4,65+,27.586206897
2004,PL,Poland,1,0-4,0.000000000
2004,PL,Poland,3,19-64,60.000000000
2004,PL,Poland,4,65+,12.500000000
2004,PT,Portugal,1,0-4,0.000000000
2004,PT,Portugal,2,5-18,100.000000000
2004,PT,Portugal,3,19-64,27.956989247
2004,PT,Portugal,4,65+,25.185185185
2004,SE,Sweden,1,0-4,2.777777778
2004,SE,Sweden,2,5-18,0.000000000
2004,SE,Sweden,3,19-64,15.833333333
2004,SE,Sweden,4,65+,16.844919786
2004,SI,Slovenia,1,0-4,25.000000000
2004,SI,Slovenia,3,19-64,36.842105263
2004,SI,Slovenia,4,65+,38.235294118
2004,SK,Slovakia,1,0-4,83.333333333
2004,SK,Slovakia,2,5-18,0.000000000
2004,SK,Slovakia,3,19-64,30.434782609
2004,SK,Slovakia,4,65+,33.333333333
2005,AT,Austria,1,0-4,40.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,26.086956522
2005,AT,Austria,4,65+,31.506849315
2005,BE,Belgium,1,0-4,0.000000000
2005,BE,Belgium,2,5-18,0.000000000
2005,BE,Belgium,3,19-64,16.216216216
2005,BE,Belgium,4,65+,31.250000000
2005,BG,Bulgaria,1,0-4,11.111111111
2005,BG,Bulgaria,2,5-18,100.000000000
2005,BG,Bulgaria,3,19-64,22.727272727
2005,BG,Bulgaria,4,65+,26.086956522
2005,CZ,Czechia,1,0-4,18.181818182
2005,CZ,Czechia,2,5-18,50.000000000
2005,CZ,Czechia,3,19-64,49.738219895
2005,CZ,Czechia,4,65+,43.750000000
2005,DE,Germany,1,0-4,66.666666667
2005,DE,Germany,2,5-18,33.333333333
2005,DE,Germany,3,19-64,48.275862069
2005,DE,Germany,4,65+,23.913043478
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,3,19-64,53.333333333
2005,EE,Estonia,4,65+,60.000000000
2005,ES,Spain,1,0-4,3.125000000
2005,ES,Spain,2,5-18,100.000000000
2005,ES,Spain,3,19-64,45.578231293
2005,ES,Spain,4,65+,34.859154930
2005,FI,Finland,1,0-4,6.250000000
2005,FI,Finland,3,19-64,37.209302326
2005,FI,Finland,4,65+,25.333333333
2005,FR,France,1,0-4,9.523809524
2005,FR,France,2,5-18,25.000000000
2005,FR,France,3,19-64,15.333333333
2005,FR,France,4,65+,15.068493151
2005,HR,Croatia,1,0-4,20.000000000
2005,HR,Croatia,2,5-18,28.571428571
2005,HR,Croatia,3,19-64,29.411764706
2005,HR,Croatia,4,65+,35.000000000
2005,HU,Hungary,1,0-4,14.285714286
2005,HU,Hungary,2,5-18,16.666666667
2005,HU,Hungary,3,19-64,46.327683616
2005,HU,Hungary,4,65+,42.079207921
2005,IE,Ireland,1,0-4,5.882352941
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,37.078651685
2005,IE,Ireland,4,65+,50.375939850
2005,IS,Iceland,1,0-4,0.000000000
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,0.000000000
2005,IT,Italy,1,0-4,11.111111111
2005,IT,Italy,3,19-64,34.210526316
2005,IT,Italy,4,65+,39.639639640
2005,MT,Malta,1,0-4,0.000000000
2005,MT,Malta,3,19-64,14.285714286
2005,MT,Malta,4,65+,50.000000000
2005,NL,Netherlands,1,0-4,3.225806452
2005,NL,Netherlands,2,5-18,42.857142857
2005,NL,Netherlands,3,19-64,47.777777778
2005,NL,Netherlands,4,65+,39.772727273
2005,NO,Norway,2,5-18,0.000000000
2005,NO,Norway,3,19-64,44.000000000
2005,NO,Norway,4,65+,29.032258065
2005,PL,Poland,3,19-64,47.058823529
2005,PL,Poland,4,65+,50.000000000
2005,PT,Portugal,1,0-4,0.000000000
2005,PT,Portugal,2,5-18,75.000000000
2005,PT,Portugal,3,19-64,40.196078431
2005,PT,Portugal,4,65+,37.647058824
2005,SE,Sweden,1,0-4,6.451612903
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,20.610687023
2005,SE,Sweden,4,65+,19.631901840
