Time,RegionCode,RegionName,CategoryIndex,Category,Value
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,3,19-64,100.000000000
2001,AT,Austria,4,65+,81.818181818
2001,CZ,Czechia,1,0-4,20.000000000
2001,CZ,Czechia,2,5-18,75.000000000
2001,CZ,Czechia,3,19-64,75.000000000
2001,CZ,Czechia,4,65+,65.217391304
2001,DE,Germany,1,0-4,100.000000000
2001,DE,Germany,3,19-64,71.875000000
2001,DE,Germany,4,65+,67.567567568
2001,ES,Spain,1,0-4,42.857142857
2001,ES,Spain,3,19-64,75.000000000
2001,ES,Spain,4,65+,39.393939394
2001,FI,Finland,1,0-4,50.000000000
2001,FI,Finland,2,5-18,100.000000000
2001,FI,Finland,3,19-64,75.000000000
2001,FI,Finland,4,65+,56.521739130
2001,IT,Italy,1,0-4,83.333333333
2001,IT,Italy,2,5-18,0.000000000
2001,IT,Italy,3,19-64,71.428571429
2001,IT,Italy,4,65+,56.666666667
2001,NL,Netherlands,1,0-4,25.000000000
2001,NL,Netherlands,2,5-18,50.000000000
2001,NL,Netherlands,3,19-64,73.076923077
2001,NL,Netherlands,4,65+,52.631578947
2001,NO,Norway,3,19-64,33.333333333
2001,NO,Norway,4,65+,7.692307692
2001,PT,Portugal,1,0-4,100.000000000
2001,PT,Portugal,3,19-64,85.000000000
2001,PT,Portugal,4,65+,75.000000000
2001,SE,Sweden,1,0-4,42.857142857
2001,SE,Sweden,2,5-18,25.000000000
2001,SE,Sweden,3,19-64,78.571428571
2001,SE,Sweden,4,65+,71.200000000
2002,AT,Austria,1,0-4,100.000000000
2002,AT,Austria,2,5-18,100.000000000
2002,AT,Austria,3,19-64,81.481481481
2002,AT,Austria,4,65+,87.500000000
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,3,19-64,53.333333333
2002,BE,Belgium,4,65+,63.636363636
2002,CZ,Czechia,1,0-4,66.666666667
2002,CZ,Czechia,2,5-18,0.000000000
2002,CZ,Czechia,3,19-64,80.487804878
2002,CZ,Czechia,4,65+,69.444444444
2002,DE,Germany,1,0-4,100.000000000
2002,DE,Germany,2,5-18,0.000000000
2002,DE,Germany,3,19-64,82.857142857
2002,DE,Germany,4,65+,58.064516129
2002,ES,Spain,1,0-4,72.727272727
2002,ES,Spain,2,5-18,60.000000000
2002,ES,Spain,3,19-64,45.161290323
2002,ES,Spain,4,65+,64.000000000
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,2,5-18,50.000000000
2002,FI,Finland,3,19-64,93.478260870
2002,FI,Finland,4,65+,71.428571429
2002,FR,France,1,0-4,0.000000000
2002,FR,France,2,5-18,0.000000000
2002,FR,France,3,19-64,39.130434783
2002,FR,France,4,65+,21.739130435
2002,IE,Ireland,1,0-4,0.000000000
2002,IE,Ireland,2,5-18,100.000000000
2002,IE,Ireland,3,19-64,91.891891892
2002,IE,Ireland,4,65+,86.842105263
2002,IT,Italy,1,0-4,66.666666667
2002,IT,Italy,2,5-18,100.000000000
2002,IT,Italy,3,19-64,79.069767442
2002,IT,Italy,4,65+,76.829268293
2002,NL,Netherlands,1,0-4,22.222222222
2002,NL,Netherlands,2,5-18,50.000000000
2002,NL,Netherlands,3,19-64,33.783783784
2002,NL,Netherlands,4,65+,11.764705882
2002,NO,Norway,1,0-4,0.000000000
2002,NO,Norway,3,19-64,28.571428571
2002,NO,Norway,4,65+,22.727272727
2002,SE,Sweden,1,0-4,50.000000000
2002,SE,Sweden,2,5-18,100.000000000
2002,SE,Sweden,3,19-64,74.193548387
2002,SE,Sweden,4,65+,73.282442748
2003,AT,Austria,1,0-4,100.000000000
2003,AT,Austria,2,5-18,100.000000000
2003,AT,Austria,3,19-64,86.363636364
2003,AT,Austria,4,65+,79.310344828
2003,CZ,Czechia,1,0-4,66.666666667
2003,CZ,Czechia,3,19-64,79.591836735
2003,CZ,Czechia,4,65+,80.952380952
2003,DE,Germany,1,0-4,25.000000000
2003,DE,Germany,2,5-18,0.000000000
2003,DE,Germany,3,19-64,73.684210526
2003,DE,Germany,4,65+,73.214285714
2003,ES,Spain,1,0-4,42.857142857
2003,ES,Spain,2,5-18,0.000000000
2003,ES,Spain,3,19-64,71.739130435
2003,ES,Spain,4,65+,64.285714286
2003,FI,Finland,1,0-4,50.000000000
2003,FI,Finland,3,19-64,83.333333333
2003,FI,Finland,4,65+,76.666666667
2003,FR,France,1,0-4,0.000000000
2003,FR,France,2,5-18,0.000000000
2003,FR,France,3,19-64,39.285714286
2003,FR,France,4,65+,17.777777778
2003,HR,Croatia,1,0-4,33.333333333
2003,HR,Croatia,3,19-64,45.454545455
2003,HR,Croatia,4,65+,50.000000000
2003,HU,Hungary,1,0-4,100.000000000
2003,HU,Hungary,2,5-18,100.000000000
2003,HU,Hungary,3,19-64,94.117647059
2003,HU,Hungary,4,65+,85.714285714
2003,IE,Ireland,1,0-4,33.333333333
2003,IE,Ireland,2,5-18,100.000000000
2003,IE,Ireland,3,19-64,90.476190476
2003,IE,Ireland,4,65+,93.846153846
2003,IT,Italy,1,0-4,80.000000000
2003,IT,Italy,2,5-18,50.000000000
2003,IT,Italy,3,19-64,76.923076923
2003,IT,Italy,4,65+,73.214285714
2003,NL,Netherlands,1,0-4,38.095238095
2003,NL,Netherlands,2,5-18,40.000000000
2003,NL,Netherlands,3,19-64,46.268656716
2003,NL,Netherlands,4,65+,19.101123596
2003,NO,Norway,3,19-64,28.571428571
2003,NO,Norway,4,65+,36.666666667
2003,PL,Poland,1,0-4,100.000000000
2003,PL,Poland,3,19-64,83.333333333
2003,PL,Poland,4,65+,100.000000000
2003,PT,Portugal,1,0-4,100.000000000
2003,PT,Portugal,2,5-18,100.000000000
2003,PT,Portugal,3,19-64,91.304347826
2003,PT,Portugal,4,65+,85.714285714
2003,SE,Sweden,1,0-4,57.142857143
2003,SE,Sweden,2,5-18,66.666666667
2003,SE,Sweden,3,19-64,87.500000000
2003,SE,Sweden,4,65+,71.140939597
2003,SI,Slovenia,3,19-64,91.666666667
2003,SI,Slovenia,4,65+,72.727272727
2004,AT,Austria,1,0-4,100.000000000
2004,AT,Austria,2,5-18,100.000000000
2004,AT,Austria,3,19-64,81.690140845
2004,AT,Austria,4,65+,86.666666667
2004,BE,Belgium,3,19-64,38.461538462
2004,BE,Belgium,4,65+,80.769230769
2004,BG,Bulgaria,1,0-4,50.000000000
2004,BG,Bulgaria,3,19-64,70.000000000
2004,BG,Bulgaria,4,65+,50.000000000
2004,CZ,Czechia,1,0-4,100.000000000
2004,CZ,Czechia,3,19-64,81.632653061
2004,CZ,Czechia,4,65+,80.000000000
2004,DE,Germany,1,0-4,80.000000000
2004,DE,Germany,2,5-18,100.000000000
2004,DE,Germany,3,19-64,86.904761905
2004,DE,Germany,4,65+,87.671232877
2004,ES,Spain,1,0-4,69.230769231
2004,ES,Spain,3,19-64,73.684210526
2004,ES,Spain,4,65+,64.000000000
2004,FI,Finland,1,0-4,50.000000000
2004,FI,Finland,2,5-18,0.000000000
2004,FI,Finland,3,19-64,75.675675676
2004,FI,Finland,4,65+,67.532467532
2004,FR,France,1,0-4,0.000000000
2004,FR,France,2,5-18,40.000000000
