Time,RegionCode,RegionName,CategoryIndex,Category,Value
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,3,19-64,11.111111111
2001,AT,Austria,4,65+,0.000000000
2001,CZ,Czechia,1,0-4,0.000000000
2001,CZ,Czechia,2,5-18,0.000000000
2001,CZ,Czechia,3,19-64,0.000000000
2001,CZ,Czechia,4,65+,4.347826087
2001,DE,Germany,1,0-4,0.000000000
2001,DE,Germany,3,19-64,3.225806452
2001,DE,Germany,4,65+,0.000000000
2001,ES,Spain,1,0-4,7.142857143
2001,ES,Spain,3,19-64,0.000000000
2001,ES,Spain,4,65+,0.000000000
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,2,5-18,0.000000000
2001,FI,Finland,3,19-64,0.000000000
2001,FI,Finland,4,65+,0.000000000
2001,IT,Italy,1,0-4,16.666666667
2001,IT,Italy,2,5-18,0.000000000
2001,IT,Italy,3,19-64,10.344827586
2001,IT,Italy,4,65+,6.250000000
2001,NL,Netherlands,1,0-4,0.000000000
2001,NL,Netherlands,2,5-18,0.000000000
2001,NL,Netherlands,3,19-64,0.000000000
2001,NL,Netherlands,4,65+,5.263157895
2001,NO,Norway,3,19-64,0.000000000
2001,NO,Norway,4,65+,0.000000000
2001,PT,Portugal,1,0-4,0.000000000
2001,PT,Portugal,3,19-64,30.000000000
2001,PT,Portugal,4,65+,12.500000000
2001,SE,Sweden,1,0-4,0.000000000
2001,SE,Sweden,2,5-18,0.000000000
2001,SE,Sweden,3,19-64,0.000000000
2001,SE,Sweden,4,65+,0.000000000
2002,AT,Austria,1,0-4,0.000000000
2002,AT,Austria,2,5-18,0.000000000
2002,AT,Austria,3,19-64,11.111111111
2002,AT,Austria,4,65+,0.000000000
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,3,19-64,0.000000000
2002,BE,Belgium,4,65+,0.000000000
2002,CZ,Czechia,1,0-4,0.000000000
2002,CZ,Czechia,2,5-18,0.000000000
2002,CZ,Czechia,3,19-64,12.195121951
2002,CZ,Czechia,4,65+,5.555555556
2002,DE,Germany,1,0-4,0.000000000
2002,DE,Germany,2,5-18,0.000000000
2002,DE,Germany,3,19-64,0.000000000
2002,DE,Germany,4,65+,9.677419355
2002,ES,Spain,1,0-4,0.000000000
2002,ES,Spain,2,5-18,20.000000000
2002,ES,Spain,3,19-64,0.000000000
2002,ES,Spain,4,65+,0.000000000
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,2,5-18,0.000000000
2002,FI,Finland,3,19-64,0.000000000
2002,FI,Finland,4,65+,2.857142857
2002,FR,France,1,0-4,0.000000000
2002,FR,France,2,5-18,0.000000000
2002,FR,France,3,19-64,3.571428571
2002,FR,France,4,65+,0.000000000
2002,IE,Ireland,1,0-4,0.000000000
2002,IE,Ireland,2,5-18,100.000000000
2002,IE,Ireland,3,19-64,10.526315789
2002,IE,Ireland,4,65+,10.810810811
2002,IT,Italy,1,0-4,0.000000000
2002,IT,Italy,2,5-18,0.000000000
2002,IT,Italy,3,19-64,18.181818182
2002,IT,Italy,4,65+,21.176470588
2002,NL,Netherlands,1,0-4,0.000000000
2002,NL,Netherlands,2,5-18,0.000000000
2002,NL,Netherlands,3,19-64,1.369863014
2002,NL,Netherlands,4,65+,2.020202020
2002,NO,Norway,1,0-4,0.000000000
2002,NO,Norway,3,19-64,0.000000000
2002,NO,Norway,4,65+,0.000000000
2002,SE,Sweden,1,0-4,0.000000000
2002,SE,Sweden,3,19-64,1.724137931
2002,SE,Sweden,4,65+,0.000000000
2003,AT,Austria,1,0-4,0.000000000
2003,AT,Austria,2,5-18,0.000000000
2003,AT,Austria,3,19-64,0.000000000
2003,AT,Austria,4,65+,0.000000000
2003,CZ,Czechia,1,0-4,0.000000000
2003,CZ,Czechia,3,19-64,4.081632653
2003,CZ,Czechia,4,65+,2.380952381
2003,DE,Germany,1,0-4,0.000000000
2003,DE,Germany,2,5-18,100.000000000
2003,DE,Germany,3,19-64,5.128205128
2003,DE,Germany,4,65+,0.000000000
2003,ES,Spain,1,0-4,0.000000000
2003,ES,Spain,2,5-18,0.000000000
2003,ES,Spain,3,19-64,4.347826087
2003,ES,Spain,4,65+,3.571428571
2003,FI,Finland,1,0-4,0.000000000
2003,FI,Finland,3,19-64,0.000000000
2003,FI,Finland,4,65+,0.000000000
2003,FR,France,1,0-4,0.000000000
2003,FR,France,2,5-18,0.000000000
2003,FR,France,3,19-64,0.000000000
2003,FR,France,4,65+,0.000000000
2003,HR,Croatia,1,0-4,0.000000000
2003,HR,Croatia,3,19-64,9.090909091
2003,HR,Croatia,4,65+,5.555555556
2003,HU,Hungary,1,0-4,0.000000000
2003,HU,Hungary,2,5-18,0.000000000
2003,HU,Hungary,3,19-64,0.000000000
2003,HU,Hungary,4,65+,0.000000000
2003,IE,Ireland,1,0-4,0.000000000
2003,IE,Ireland,2,5-18,0.000000000
2003,IE,Ireland,3,19-64,21.875000000
2003,IE,Ireland,4,65+,17.187500000
2003,IT,Italy,1,0-4,0.000000000
2003,IT,Italy,2,5-18,0.000000000
2003,IT,Italy,3,19-64,27.272727273
2003,IT,Italy,4,65+,12.903225806
2003,NL,Netherlands,1,0-4,0.000000000
2003,NL,Netherlands,2,5-18,0.000000000
2003,NL,Netherlands,3,19-64,1.449275362
2003,NL,Netherlands,4,65+,1.136363636
2003,NO,Norway,3,19-64,0.000000000
2003,NO,Norway,4,65+,0.000000000
2003,PL,Poland,1,0-4,0.000000000
2003,PL,Poland,3,19-64,0.000000000
2003,PL,Poland,4,65+,0.000000000
2003,PT,Portugal,1,0-4,25.000000000
2003,PT,Portugal,2,5-18,50.000000000
2003,PT,Portugal,3,19-64,56.521739130
2003,PT,Portugal,4,65+,42.857142857
2003,SE,Sweden,1,0-4,0.000000000
2003,SE,Sweden,2,5-18,0.000000000
2003,SE,Sweden,3,19-64,2.631578947
2003,SE,Sweden,4,65+,2.068965517
2003,SI,Slovenia,3,19-64,0.000000000
2003,SI,Slovenia,4,65+,0.000000000
2004,AT,Austria,1,0-4,0.000000000
2004,AT,Austria,2,5-18,0.000000000
2004,AT,Austria,3,19-64,0.000000000
2004,AT,Austria,4,65+,1.149425287
2004,BE,Belgium,3,19-64,0.000000000
2004,BE,Belgium,4,65+,7.692307692
2004,BG,Bulgaria,1,0-4,0.000000000
2004,BG,Bulgaria,3,19-64,0.000000000
2004,BG,Bulgaria,4,65+,0.000000000
2004,CZ,Czechia,1,0-4,0.000000000
2004,CZ,Czechia,3,19-64,4.081632653
2004,CZ,Czechia,4,65+,1.818181818
2004,DE,Germany,1,0-4,0.000000000
2004,DE,Germany,2,5-18,33.333333333
2004,DE,Germany,3,19-64,13.333333333
2004,DE,Germany,4,65+,7.142857143
2004,ES,Spain,1,0-4,0.000000000
2004,ES,Spain,3,19-64,5.263157895
2004,ES,Spain,4,65+,0.000000000
2004,FI,Finland,1,0-4,0.000000000
2004,FI,Finland,2,5-18,0.000000000
2004,FI,Finland,3,19-64,0.000000000
2004,FI,Finland,4,65+,0.000000000
2004,FR,France,1,0-4,0.000000000
2004,FR,France,2,5-18,0.000000000
2004,FR,France,3,19-64,4.838709677
2004,FR,France,4,65+,5.681818182
2004,HR,Croatia,1,0-4,0.000000000
2004,HR,Croatia,3,19-64,7.692307692
2004,HR,Croatia,4,65+,0.000000000
2004,HU,Hungary,1,0-4,0.000000000
2004,HU,Hungary,2,5-18,0.000000000
2004,HU,Hungary,3,19-64,0.000000000
2004,HU,Hungary,4,65+,0.000000000
2004,IE,Ireland,1,0-4,0.000000000
2004,IE,Ireland,2,5-18,100.000000000
2004,IE,Ireland,3,19-64,25.842696629
2004,IE,Ireland,4,65+,17.857142857
2004,IT,Italy,1,0-4,0.000000000
2004,IT,Italy,3,19-64,15.384615385
2004,IT,Italy,4,65+,19.565217391
2004,NL,Netherlands,1,0-4,0.000000000
2004,NL,Netherlands,2,5-18,0.000000000
2004,NL,Netherlands,3,19-64,0.000000000
2004,NL,Netherlands,4,65+,0.000000000
2004,NO,Norway,3,19-64,0.000000000
2004,NO,Norway,4,65+,0.000000000
2004,PT,Portugal,1,0-4,50.000000000
2004,PT,Portugal,2,5-18,0.000000000
2004,PT,Portugal,3,19-64,50.000000000
2004,PT,Portugal,4,65+,40.350877193
2004,SE,Sweden,1,0-4,0.000000000
2004,SE,Sweden,3,19-64,2.531645570
2004,SE,Sweden,4,65+,0.571428571
2004,SI,Slovenia,1,0-4,0.000000000
2004,SI,Slovenia,3,19-64,0.000000000
2004,SI,Slovenia,4,65+,0.000000000
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,1.369863014
2005,AT,Austria,4,65+,1.123595506
2005,BE,Belgium,1,0-4,0.000000000
2005,BE,Belgium,3,19-64,7.142857143
2005,BE,Belgium,4,65+,18.518518519
2005,BG,Bulgaria,1,0-4,0.000000000
2005,BG,Bulgaria,3,19-64,0.000000000
2005,BG,Bulgaria,4,65+,0.000000000
2005,CZ,Czechia,1,0-4,0.000000000
2005,CZ,Czechia,2,5-18,0.000000000
2005,CZ,Czechia,3,19-64,18.032786885
2005,CZ,Czechia,4,65+,8.139534884
2005,DE,Germany,1,0-4,20.000000000
2005,DE,Germany,2,5-18,66.666666667
2005,DE,Germany,3,19-64,11.194029851
2005,DE,Germany,4,65+,6.666666667
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,0.000000000
2005,EE,Estonia,3,19-64,0.000000000
2005,EE,Estonia,4,65+,0.000000000
