Time,RegionCode,RegionName,CategoryIndex,Category,Value
2000,DE,Germany,1,0-4,0.000000000
2000,DE,Germany,2,5-18,0.000000000
2000,DE,Germany,3,19-64,9.302325581
2000,DE,Germany,4,65+,5.970149254
2000,NL,Netherlands,1,0-4,3.703703704
2000,NL,Netherlands,2,5-18,0.000000000
2000,NL,Netherlands,3,19-64,1.428571429
2000,NL,Netherlands,4,65+,2.199074074
2000,NO,Norway,1,0-4,0.000000000
2000,NO,Norway,2,5-18,0.000000000
2000,NO,Norway,3,19-64,0.552486188
2000,NO,Norway,4,65+,1.192842942
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,2,5-18,0.000000000
2001,AT,Austria,3,19-64,2.531645570
2001,AT,Austria,4,65+,1.183431953
2001,BE,Belgium,1,0-4,0.000000000
2001,BE,Belgium,2,5-18,0.000000000
2001,BE,Belgium,3,19-64,8.571428571
2001,BE,Belgium,4,65+,2.941176471
2001,BG,Bulgaria,1,0-4,33.333333333
2001,BG,Bulgaria,3,19-64,11.764705882
2001,BG,Bulgaria,4,65+,18.518518519
2001,CZ,Czechia,1,0-4,4.285714286
2001,CZ,Czechia,2,5-18,0.000000000
2001,CZ,Czechia,3,19-64,6.714628297
2001,CZ,Czechia,4,65+,4.903417533
2001,DE,Germany,1,0-4,0.000000000
2001,DE,Germany,2,5-18,11.111111111
2001,DE,Germany,3,19-64,4.705882353
2001,DE,Germany,4,65+,5.154639175
2001,EE,Estonia,1,0-4,33.333333333
2001,EE,Estonia,3,19-64,0.000000000
2001,EE,Estonia,4,65+,0.000000000
2001,ES,Spain,1,0-4,5.357142857
2001,ES,Spain,2,5-18,5.000000000
2001,ES,Spain,3,19-64,5.761316872
2001,ES,Spain,4,65+,7.095553453
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,2,5-18,0.000000000
2001,FI,Finland,3,19-64,0.000000000
2001,FI,Finland,4,65+,0.143061516
2001,HR,Croatia,1,0-4,14.285714286
2001,HR,Croatia,2,5-18,25.000000000
2001,HR,Croatia,3,19-64,8.064516129
2001,HR,Croatia,4,65+,2.941176471
2001,HU,Hungary,1,0-4,20.000000000
2001,HU,Hungary,2,5-18,0.000000000
2001,HU,Hungary,3,19-64,2.040816327
2001,HU,Hungary,4,65+,3.816793893
2001,IS,Iceland,1,0-4,0.000000000
2001,IS,Iceland,3,19-64,0.000000000
2001,IS,Iceland,4,65+,5.172413793
2001,LU,Luxembourg,1,0-4,0.000000000
2001,LU,Luxembourg,2,5-18,0.000000000
2001,LU,Luxembourg,3,19-64,4.878048780
2001,LU,Luxembourg,4,65+,6.034482759
2001,MT,Malta,1,0-4,14.285714286
2001,MT,Malta,2,5-18,33.333333333
2001,MT,Malta,3,19-64,13.333333333
2001,MT,Malta,4,65+,7.692307692
2001,NL,Netherlands,1,0-4,1.219512195
2001,NL,Netherlands,2,5-18,4.166666667
2001,NL,Netherlands,3,19-64,2.930402930
2001,NL,Netherlands,4,65+,1.941747573
2001,NO,Norway,1,0-4,0.000000000
2001,NO,Norway,2,5-18,0.000000000
2001,NO,Norway,3,19-64,1.604278075
2001,NO,Norway,4,65+,0.509337861
2001,PL,Poland,1,0-4,14.285714286
2001,PL,Poland,3,19-64,5.000000000
2001,PL,Poland,4,65+,2.173913043
2001,PT,Portugal,1,0-4,0.000000000
2001,PT,Portugal,2,5-18,12.500000000
2001,PT,Portugal,3,19-64,6.748466258
2001,PT,Portugal,4,65+,4.672897196
2001,SE,Sweden,1,0-4,0.000000000
2001,SE,Sweden,2,5-18,0.000000000
2001,SE,Sweden,3,19-64,0.986842105
2001,SE,Sweden,4,65+,0.885935770
2001,SI,Slovenia,1,0-4,0.000000000
2001,SI,Slovenia,2,5-18,0.000000000
2001,SI,Slovenia,3,19-64,0.694444444
2001,SI,Slovenia,4,65+,3.056768559
2001,SK,Slovakia,1,0-4,0.000000000
2001,SK,Slovakia,2,5-18,0.000000000
2001,SK,Slovakia,3,19-64,6.250000000
2001,SK,Slovakia,4,65+,0.000000000
2001,UK,United Kingdom,1,0-4,5.000000000
2001,UK,United Kingdom,2,5-18,12.000000000
2001,UK,United Kingdom,3,19-64,4.062500000
2001,UK,United Kingdom,4,65+,1.894736842
2002,AT,Austria,1,0-4,0.000000000
2002,AT,Austria,2,5-18,14.285714286
2002,AT,Austria,3,19-64,4.848484848
2002,AT,Austria,4,65+,2.749140893
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,2,5-18,0.000000000
2002,BE,Belgium,3,19-64,8.812260536
2002,BE,Belgium,4,65+,4.553734062
2002,BG,Bulgaria,1,0-4,23.076923077
2002,BG,Bulgaria,2,5-18,16.666666667
2002,BG,Bulgaria,3,19-64,12.698412698
2002,BG,Bulgaria,4,65+,17.021276596
2002,CZ,Czechia,1,0-4,1.538461538
2002,CZ,Czechia,2,5-18,0.000000000
2002,CZ,Czechia,3,19-64,7.089552239
2002,CZ,Czechia,4,65+,5.693581781
2002,DE,Germany,1,0-4,0.000000000
2002,DE,Germany,2,5-18,0.000000000
2002,DE,Germany,3,19-64,4.530744337
2002,DE,Germany,4,65+,5.486968450
2002,ES,Spain,1,0-4,6.944444444
2002,ES,Spain,2,5-18,0.000000000
2002,ES,Spain,3,19-64,7.768361582
2002,ES,Spain,4,65+,7.572115385
2002,FI,Finland,1,0-4,2.702702703
2002,FI,Finland,2,5-18,0.000000000
2002,FI,Finland,3,19-64,0.802139037
2002,FI,Finland,4,65+,0.774193548
2002,FR,France,1,0-4,3.333333333
2002,FR,France,2,5-18,4.347826087
2002,FR,France,3,19-64,4.761904762
2002,FR,France,4,65+,3.899926416
2002,HR,Croatia,1,0-4,23.809523810
2002,HR,Croatia,2,5-18,0.000000000
2002,HR,Croatia,3,19-64,4.494382022
2002,HR,Croatia,4,65+,5.660377358
2002,HU,Hungary,1,0-4,9.090909091
2002,HU,Hungary,2,5-18,14.285714286
2002,HU,Hungary,3,19-64,6.040268456
2002,HU,Hungary,4,65+,5.586592179
2002,IE,Ireland,1,0-4,5.882352941
2002,IE,Ireland,2,5-18,0.000000000
2002,IE,Ireland,3,19-64,4.201680672
