Time,RegionCode,RegionName,CategoryIndex,Category,Value
2000,DE,Germany,1,0-4,0.000000000
2000,DE,Germany,2,5-18,0.000000000
2000,DE,Germany,3,19-64,0.000000000
2000,DE,Germany,4,65+,0.000000000
2000,NL,Netherlands,1,0-4,0.000000000
2000,NL,Netherlands,3,19-64,0.000000000
2000,NL,Netherlands,4,65+,0.161290323
2000,NO,Norway,1,0-4,0.000000000
2000,NO,Norway,2,5-18,0.000000000
2000,NO,Norway,3,19-64,0.000000000
2000,NO,Norway,4,65+,0.226757370
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,2,5-18,0.000000000
2001,AT,Austria,3,19-64,0.000000000
2001,AT,Austria,4,65+,0.000000000
2001,BE,Belgium,1,0-4,0.000000000
2001,BE,Belgium,2,5-18,0.000000000
2001,BE,Belgium,3,19-64,0.000000000
2001,BE,Belgium,4,65+,0.000000000
2001,BG,Bulgaria,1,0-4,0.000000000
2001,BG,Bulgaria,3,19-64,2.222222222
2001,BG,Bulgaria,4,65+,0.000000000
2001,CZ,Czechia,1,0-4,1.428571429
2001,CZ,Czechia,2,5-18,0.000000000
2001,CZ,Czechia,3,19-64,0.242130751
2001,CZ,Czechia,4,65+,0.450450450
2001,DE,Germany,1,0-4,0.000000000
2001,DE,Germany,2,5-18,0.000000000
2001,DE,Germany,3,19-64,0.911854103
2001,DE,Germany,4,65+,0.000000000
2001,EE,Estonia,1,0-4,0.000000000
2001,EE,Estonia,3,19-64,0.000000000
2001,EE,Estonia,4,65+,0.000000000
2001,ES,Spain,1,0-4,2.564102564
2001,ES,Spain,2,5-18,0.000000000
2001,ES,Spain,3,19-64,0.303951368
2001,ES,Spain,4,65+,0.132978723
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,2,5-18,0.000000000
2001,FI,Finland,3,19-64,0.000000000
2001,FI,Finland,4,65+,0.000000000
2001,HR,Croatia,1,0-4,0.000000000
2001,HR,Croatia,2,5-18,0.000000000
2001,HR,Croatia,3,19-64,0.000000000
2001,HR,Croatia,4,65+,0.000000000
2001,HU,Hungary,1,0-4,0.000000000
2001,HU,Hungary,2,5-18,0.000000000
2001,HU,Hungary,3,19-64,0.000000000
2001,HU,Hungary,4,65+,0.000000000
2001,IS,Iceland,1,0-4,0.000000000
2001,IS,Iceland,3,19-64,0.000000000
2001,IS,Iceland,4,65+,0.000000000
2001,LU,Luxembourg,1,0-4,0.000000000
2001,LU,Luxembourg,2,5-18,0.000000000
2001,LU,Luxembourg,3,19-64,0.000000000
2001,LU,Luxembourg,4,65+,0.000000000
2001,MT,Malta,1,0-4,0.000000000
2001,MT,Malta,2,5-18,0.000000000
2001,MT,Malta,3,19-64,0.000000000
2001,MT,Malta,4,65+,0.000000000
2001,NL,Netherlands,1,0-4,0.000000000
2001,NL,Netherlands,2,5-18,0.000000000
2001,NL,Netherlands,3,19-64,0.478468900
2001,NL,Netherlands,4,65+,0.000000000
2001,NO,Norway,1,0-4,0.000000000
2001,NO,Norway,2,5-18,0.000000000
2001,NO,Norway,3,19-64,0.000000000
2001,NO,Norway,4,65+,0.000000000
2001,PL,Poland,1,0-4,0.000000000
2001,PL,Poland,3,19-64,0.000000000
2001,PL,Poland,4,65+,0.000000000
2001,PT,Portugal,1,0-4,0.000000000
2001,PT,Portugal,2,5-18,0.000000000
2001,PT,Portugal,3,19-64,1.801801802
2001,PT,Portugal,4,65+,1.315789474
2001,SE,Sweden,1,0-4,0.000000000
2001,SE,Sweden,2,5-18,0.000000000
2001,SE,Sweden,3,19-64,0.355871886
2001,SE,Sweden,4,65+,0.124223602
2001,SI,Slovenia,1,0-4,0.000000000
2001,SI,Slovenia,2,5-18,0.000000000
2001,SI,Slovenia,3,19-64,0.694444444
2001,SI,Slovenia,4,65+,0.000000000
2001,SK,Slovakia,1,0-4,0.000000000
2001,SK,Slovakia,2,5-18,0.000000000
2001,SK,Slovakia,3,19-64,0.000000000
2001,SK,Slovakia,4,65+,0.000000000
2001,UK,United Kingdom,1,0-4,0.000000000
2001,UK,United Kingdom,2,5-18,0.000000000
2001,UK,United Kingdom,3,19-64,0.806451613
2001,UK,United Kingdom,4,65+,0.127877238
2002,AT,Austria,1,0-4,0.000000000
2002,AT,Austria,2,5-18,14.285714286
2002,AT,Austria,3,19-64,0.613496933
2002,AT,Austria,4,65+,0.000000000
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,2,5-18,0.000000000
2002,BE,Belgium,3,19-64,1.363636364
2002,BE,Belgium,4,65+,0.702576112
2002,BG,Bulgaria,1,0-4,15.384615385
2002,BG,Bulgaria,2,5-18,16.666666667
2002,BG,Bulgaria,3,19-64,7.936507937
2002,BG,Bulgaria,4,65+,6.382978723
2002,CZ,Czechia,1,0-4,0.000000000
2002,CZ,Czechia,2,5-18,0.000000000
2002,CZ,Czechia,3,19-64,1.123595506
2002,CZ,Czechia,4,65+,0.103626943
2002,DE,Germany,1,0-4,0.000000000
2002,DE,Germany,2,5-18,0.000000000
2002,DE,Germany,3,19-64,0.323624595
2002,DE,Germany,4,65+,0.275862069
2002,ES,Spain,1,0-4,0.000000000
2002,ES,Spain,2,5-18,0.000000000
2002,ES,Spain,3,19-64,0.851063830
2002,ES,Spain,4,65+,0.181159420
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,2,5-18,0.000000000
2002,FI,Finland,3,19-64,0.280112045
2002,FI,Finland,4,65+,0.675675676
2002,FR,France,1,0-4,0.000000000
2002,FR,France,2,5-18,0.000000000
2002,FR,France,3,19-64,0.285986654
2002,FR,France,4,65+,0.221238938
2002,HR,Croatia,1,0-4,0.000000000
2002,HR,Croatia,2,5-18,0.000000000
2002,HR,Croatia,3,19-64,0.000000000
2002,HR,Croatia,4,65+,0.000000000
2002,HU,Hungary,1,0-4,0.000000000
2002,HU,Hungary,2,5-18,0.000000000
2002,HU,Hungary,3,19-64,0.000000000
2002,HU,Hungary,4,65+,0.613496933
2002,IE,Ireland,1,0-4,9.090909091
2002,IE,Ireland,2,5-18,0.000000000
2002,IE,Ireland,3,19-64,0.854700855
2002,IE,Ireland,4,65+,0.222222222
