Time,RegionCode,RegionName,CategoryIndex,Category,Value
2000,DE,Germany,1,0-4,0.000000000
2000,DE,Germany,2,5-18,0.000000000
2000,DE,Germany,3,19-64,2.325581395
2000,DE,Germany,4,65+,9.701492537
2000,NL,Netherlands,1,0-4,3.571428571
2000,NL,Netherlands,2,5-18,0.000000000
2000,NL,Netherlands,3,19-64,4.297994269
2000,NL,Netherlands,4,65+,2.969121140
2000,NO,Norway,1,0-4,0.000000000
2000,NO,Norway,2,5-18,0.000000000
2000,NO,Norway,3,19-64,1.904761905
2000,NO,Norway,4,65+,1.654411765
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,2,5-18,0.000000000
2001,AT,Austria,3,19-64,7.462686567
2001,AT,Austria,4,65+,7.438016529
2001,BE,Belgium,1,0-4,0.000000000
2001,BE,Belgium,2,5-18,0.000000000
2001,BE,Belgium,3,19-64,6.666666667
2001,BE,Belgium,4,65+,10.294117647
2001,BG,Bulgaria,1,0-4,0.000000000
2001,BG,Bulgaria,3,19-64,8.510638298
2001,BG,Bulgaria,4,65+,11.111111111
2001,CZ,Czechia,1,0-4,2.857142857
2001,CZ,Czechia,2,5-18,6.250000000
2001,CZ,Czechia,3,19-64,7.932692308
2001,CZ,Czechia,4,65+,8.779761905
2001,DE,Germany,1,0-4,0.000000000
2001,DE,Germany,2,5-18,0.000000000
2001,DE,Germany,3,19-64,11.711711712
2001,DE,Germany,4,65+,11.371629543
2001,EE,Estonia,1,0-4,0.000000000
2001,EE,Estonia,3,19-64,0.000000000
2001,EE,Estonia,4,65+,0.000000000
2001,ES,Spain,1,0-4,8.928571429
2001,ES,Spain,2,5-18,0.000000000
2001,ES,Spain,3,19-64,14.669421488
2001,ES,Spain,4,65+,19.128787879
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,2,5-18,8.333333333
2001,FI,Finland,3,19-64,3.037974684
2001,FI,Finland,4,65+,6.762028609
2001,HR,Croatia,1,0-4,0.000000000
2001,HR,Croatia,2,5-18,25.000000000
2001,HR,Croatia,3,19-64,6.557377049
2001,HR,Croatia,4,65+,3.061224490
2001,HU,Hungary,1,0-4,0.000000000
2001,HU,Hungary,2,5-18,0.000000000
2001,HU,Hungary,3,19-64,5.882352941
2001,HU,Hungary,4,65+,5.072463768
2001,IS,Iceland,1,0-4,0.000000000
2001,IS,Iceland,3,19-64,4.000000000
2001,IS,Iceland,4,65+,3.636363636
2001,LU,Luxembourg,1,0-4,0.000000000
2001,LU,Luxembourg,2,5-18,0.000000000
2001,LU,Luxembourg,3,19-64,2.439024390
2001,LU,Luxembourg,4,65+,6.250000000
2001,MT,Malta,1,0-4,28.571428571
2001,MT,Malta,2,5-18,33.333333333
2001,MT,Malta,3,19-64,13.333333333
2001,MT,Malta,4,65+,12.820512821
2001,NL,Netherlands,1,0-4,0.000000000
2001,NL,Netherlands,2,5-18,0.000000000
2001,NL,Netherlands,3,19-64,6.640625000
2001,NL,Netherlands,4,65+,5.342080600
2001,NO,Norway,1,0-4,0.000000000
2001,NO,Norway,2,5-18,0.000000000
2001,NO,Norway,3,19-64,2.551020408
2001,NO,Norway,4,65+,0.963081862
2001,PL,Poland,1,0-4,0.000000000
2001,PL,Poland,3,19-64,13.513513514
2001,PL,Poland,4,65+,6.818181818
2001,PT,Portugal,1,0-4,33.333333333
2001,PT,Portugal,2,5-18,14.285714286
2001,PT,Portugal,3,19-64,18.018018018
2001,PT,Portugal,4,65+,19.078947368
2001,SE,Sweden,1,0-4,2.500000000
2001,SE,Sweden,2,5-18,9.090909091
2001,SE,Sweden,3,19-64,5.609284333
2001,SE,Sweden,4,65+,3.167155425
2001,SI,Slovenia,1,0-4,0.000000000
2001,SI,Slovenia,2,5-18,16.666666667
2001,SI,Slovenia,3,19-64,6.944444444
2001,SI,Slovenia,4,65+,8.733624454
2001,SK,Slovakia,1,0-4,0.000000000
2001,SK,Slovakia,2,5-18,0.000000000
2001,SK,Slovakia,3,19-64,18.750000000
2001,SK,Slovakia,4,65+,17.391304348
2001,UK,United Kingdom,1,0-4,2.000000000
2001,UK,United Kingdom,2,5-18,11.764705882
2001,UK,United Kingdom,3,19-64,9.219858156
2001,UK,United Kingdom,4,65+,5.365296804
2002,AT,Austria,1,0-4,0.000000000
2002,AT,Austria,2,5-18,14.285714286
2002,AT,Austria,3,19-64,14.110429448
2002,AT,Austria,4,65+,8.275862069
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,2,5-18,0.000000000
2002,BE,Belgium,3,19-64,13.898305085
2002,BE,Belgium,4,65+,13.731825525
2002,BG,Bulgaria,1,0-4,21.428571429
2002,BG,Bulgaria,2,5-18,16.666666667
2002,BG,Bulgaria,3,19-64,9.375000000
2002,BG,Bulgaria,4,65+,14.583333333
2002,CZ,Czechia,1,0-4,1.538461538
2002,CZ,Czechia,2,5-18,5.555555556
2002,CZ,Czechia,3,19-64,12.523364486
2002,CZ,Czechia,4,65+,9.937888199
2002,DE,Germany,1,0-4,0.000000000
2002,DE,Germany,2,5-18,20.000000000
2002,DE,Germany,3,19-64,16.129032258
2002,DE,Germany,4,65+,14.246575342
2002,ES,Spain,1,0-4,5.633802817
2002,ES,Spain,2,5-18,8.000000000
2002,ES,Spain,3,19-64,17.771509168
2002,ES,Spain,4,65+,20.755848830
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,2,5-18,0.000000000
2002,FI,Finland,3,19-64,3.950617284
2002,FI,Finland,4,65+,7.829181495
2002,FR,France,1,0-4,1.666666667
2002,FR,France,2,5-18,4.347826087
2002,FR,France,3,19-64,9.056244042
2002,FR,France,4,65+,7.890855457
2002,HR,Croatia,1,0-4,0.000000000
2002,HR,Croatia,2,5-18,20.000000000
2002,HR,Croatia,3,19-64,6.741573034
2002,HR,Croatia,4,65+,4.905660377
2002,HU,Hungary,1,0-4,0.000000000
2002,HU,Hungary,2,5-18,25.000000000
2002,HU,Hungary,3,19-64,9.154929577
2002,HU,Hungary,4,65+,11.309523810
2002,IE,Ireland,1,0-4,7.692307692
2002,IE,Ireland,2,5-18,0.000000000
2002,IE,Ireland,3,19-64,6.382978723
