Time,RegionCode,RegionName,CategoryIndex,Category,Value
2000,DE,Germany,1,0-4,0.000000000
2000,DE,Germany,2,5-18,0.000000000
2000,DE,Germany,3,19-64,0.000000000
2000,DE,Germany,4,65+,0.000000000
2000,NL,Netherlands,1,0-4,0.000000000
2000,NL,Netherlands,3,19-64,0.000000000
2000,NL,Netherlands,4,65+,0.150375940
2000,NO,Norway,1,0-4,4.545454545
2000,NO,Norway,2,5-18,0.000000000
2000,NO,Norway,3,19-64,0.425531915
2000,NO,Norway,4,65+,0.153846154
2001,AT,Austria,1,0-4,0.000000000
2001,AT,Austria,2,5-18,0.000000000
2001,AT,Austria,3,19-64,0.000000000
2001,AT,Austria,4,65+,0.000000000
2001,BE,Belgium,1,0-4,0.000000000
2001,BE,Belgium,2,5-18,0.000000000
2001,BE,Belgium,3,19-64,1.923076923
2001,BE,Belgium,4,65+,1.886792453
2001,BG,Bulgaria,1,0-4,9.090909091
2001,BG,Bulgaria,3,19-64,4.081632653
2001,BG,Bulgaria,4,65+,7.692307692
2001,CZ,Czechia,1,0-4,1.428571429
2001,CZ,Czechia,2,5-18,0.000000000
2001,CZ,Czechia,3,19-64,2.657004831
2001,CZ,Czechia,4,65+,2.248875562
2001,DE,Germany,1,0-4,3.846153846
2001,DE,Germany,2,5-18,0.000000000
2001,DE,Germany,3,19-64,1.166180758
2001,DE,Germany,4,65+,0.458190149
2001,EE,Estonia,1,0-4,30.000000000
2001,EE,Estonia,3,19-64,0.000000000
2001,EE,Estonia,4,65+,0.000000000
2001,ES,Spain,1,0-4,3.636363636
2001,ES,Spain,2,5-18,0.000000000
2001,ES,Spain,3,19-64,0.921658986
2001,ES,Spain,4,65+,0.331491713
2001,FI,Finland,1,0-4,0.000000000
2001,FI,Finland,2,5-18,0.000000000
2001,FI,Finland,3,19-64,0.000000000
2001,FI,Finland,4,65+,0.264900662
2001,HR,Croatia,1,0-4,14.285714286
2001,HR,Croatia,2,5-18,0.000000000
2001,HR,Croatia,3,19-64,1.612903226
2001,HR,Croatia,4,65+,0.000000000
2001,HU,Hungary,1,0-4,7.692307692
2001,HU,Hungary,2,5-18,0.000000000
2001,HU,Hungary,3,19-64,0.000000000
2001,HU,Hungary,4,65+,0.000000000
2001,IS,Iceland,1,0-4,0.000000000
2001,IS,Iceland,3,19-64,0.000000000
2001,IS,Iceland,4,65+,0.000000000
2001,LU,Luxembourg,1,0-4,0.000000000
2001,LU,Luxembourg,2,5-18,0.000000000
2001,LU,Luxembourg,3,19-64,0.000000000
2001,LU,Luxembourg,4,65+,0.862068966
2001,MT,Malta,1,0-4,0.000000000
2001,MT,Malta,2,5-18,0.000000000
2001,MT,Malta,3,19-64,0.000000000
2001,MT,Malta,4,65+,0.000000000
2001,NL,Netherlands,1,0-4,0.000000000
2001,NL,Netherlands,2,5-18,4.347826087
2001,NL,Netherlands,3,19-64,1.068376068
2001,NL,Netherlands,4,65+,0.229095074
2001,NO,Norway,1,0-4,0.000000000
2001,NO,Norway,2,5-18,0.000000000
2001,NO,Norway,3,19-64,0.000000000
2001,NO,Norway,4,65+,0.417246175
2001,PL,Poland,1,0-4,25.000000000
2001,PL,Poland,3,19-64,5.000000000
2001,PL,Poland,4,65+,2.325581395
2001,PT,Portugal,1,0-4,25.000000000
2001,PT,Portugal,2,5-18,0.000000000
2001,PT,Portugal,3,19-64,3.067484663
2001,PT,Portugal,4,65+,2.803738318
2001,SE,Sweden,1,0-4,0.000000000
2001,SE,Sweden,2,5-18,0.000000000
2001,SE,Sweden,3,19-64,0.486223663
2001,SE,Sweden,4,65+,0.307850180
2001,SI,Slovenia,1,0-4,0.000000000
2001,SI,Slovenia,2,5-18,0.000000000
2001,SI,Slovenia,3,19-64,0.694444444
2001,SI,Slovenia,4,65+,0.000000000
2001,SK,Slovakia,1,0-4,0.000000000
2001,SK,Slovakia,2,5-18,0.000000000
2001,SK,Slovakia,3,19-64,6.250000000
2001,SK,Slovakia,4,65+,8.695652174
2001,UK,United Kingdom,1,0-4,0.000000000
2001,UK,United Kingdom,2,5-18,0.000000000
2001,UK,United Kingdom,3,19-64,2.602230483
2001,UK,United Kingdom,4,65+,0.856793146
2002,AT,Austria,1,0-4,0.000000000
2002,AT,Austria,2,5-18,14.285714286
2002,AT,Austria,3,19-64,1.829268293
2002,AT,Austria,4,65+,0.680272109
2002,BE,Belgium,1,0-4,0.000000000
2002,BE,Belgium,2,5-18,0.000000000
2002,BE,Belgium,3,19-64,3.116147309
2002,BE,Belgium,4,65+,2.813299233
2002,BG,Bulgaria,1,0-4,28.571428571
2002,BG,Bulgaria,2,5-18,16.666666667
2002,BG,Bulgaria,3,19-64,12.500000000
2002,BG,Bulgaria,4,65+,8.333333333
2002,CZ,Czechia,1,0-4,0.000000000
2002,CZ,Czechia,2,5-18,5.555555556
2002,CZ,Czechia,3,19-64,2.616822430
2002,CZ,Czechia,4,65+,0.414507772
2002,DE,Germany,1,0-4,0.000000000
2002,DE,Germany,2,5-18,20.000000000
2002,DE,Germany,3,19-64,1.612903226
2002,DE,Germany,4,65+,0.550964187
2002,ES,Spain,1,0-4,0.000000000
2002,ES,Spain,2,5-18,0.000000000
2002,ES,Spain,3,19-64,2.824858757
2002,ES,Spain,4,65+,1.141826923
2002,FI,Finland,1,0-4,0.000000000
2002,FI,Finland,2,5-18,0.000000000
2002,FI,Finland,3,19-64,0.495049505
2002,FI,Finland,4,65+,0.732600733
2002,FR,France,1,0-4,0.000000000
2002,FR,France,2,5-18,0.000000000
2002,FR,France,3,19-64,0.952380952
2002,FR,France,4,65+,0.662251656
2002,HR,Croatia,1,0-4,19.047619048
2002,HR,Croatia,2,5-18,0.000000000
2002,HR,Croatia,3,19-64,1.123595506
2002,HR,Croatia,4,65+,1.509433962
2002,HU,Hungary,1,0-4,9.090909091
2002,HU,Hungary,2,5-18,0.000000000
2002,HU,Hungary,3,19-64,2.649006623
2002,HU,Hungary,4,65+,1.104972376
2002,IE,Ireland,1,0-4,12.500000000
2002,IE,Ireland,2,5-18,0.000000000
2002,IE,Ireland,3,19-64,2.510460251
2002,IE,Ireland,4,65+,1.727861771
