Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,4.347826087
2005,AT,Austria,4,65+,2.380952381
2005,BG,Bulgaria,1,0-4,100.000000000
2005,BG,Bulgaria,2,5-18,100.000000000
2005,BG,Bulgaria,3,19-64,60.000000000
2005,BG,Bulgaria,4,65+,27.272727273
2005,CZ,Czechia,1,0-4,3.846153846
2005,CZ,Czechia,2,5-18,20.000000000
2005,CZ,Czechia,3,19-64,40.000000000
2005,CZ,Czechia,4,65+,36.929460581
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,16.981132075
2005,DE,Germany,4,65+,2.127659574
2005,EE,Estonia,1,0-4,16.666666667
2005,EE,Estonia,3,19-64,5.882352941
2005,EE,Estonia,4,65+,6.666666667
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,5.000000000
2005,ES,Spain,4,65+,2.941176471
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,3.448275862
2005,FI,Finland,4,65+,2.352941176
2005,FR,France,1,0-4,4.166666667
2005,FR,France,2,5-18,9.090909091
2005,FR,France,3,19-64,5.769230769
2005,FR,France,4,65+,4.566210046
2005,HR,Croatia,1,0-4,62.962962963
2005,HR,Croatia,3,19-64,28.000000000
2005,HR,Croatia,4,65+,25.714285714
2005,HU,Hungary,1,0-4,44.444444444
2005,HU,Hungary,2,5-18,0.000000000
2005,HU,Hungary,3,19-64,30.656934307
2005,HU,Hungary,4,65+,19.354838710
2005,IE,Ireland,1,0-4,100.000000000
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,0.000000000
2005,IE,Ireland,4,65+,0.000000000
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,0.000000000
2005,IT,Italy,1,0-4,40.000000000
2005,IT,Italy,2,5-18,0.000000000
2005,IT,Italy,3,19-64,6.329113924
2005,IT,Italy,4,65+,4.237288136
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,33.333333333
2005,NL,Netherlands,3,19-64,7.017543860
2005,NL,Netherlands,4,65+,3.468208092
2005,NO,Norway,1,0-4,50.000000000
2005,NO,Norway,3,19-64,8.163265306
2005,NO,Norway,4,65+,0.704225352
2005,PL,Poland,1,0-4,72.727272727
2005,PL,Poland,3,19-64,62.500000000
2005,PL,Poland,4,65+,38.888888889
2005,SE,Sweden,1,0-4,16.666666667
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,1.785714286
2005,SE,Sweden,4,65+,0.934579439
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,33.333333333
2005,SI,Slovenia,3,19-64,25.925925926
2005,SI,Slovenia,4,65+,12.500000000
2005,UK,United Kingdom,1,0-4,0.000000000
2005,UK,United Kingdom,2,5-18,7.142857143
2005,UK,United Kingdom,3,19-64,7.258064516
2005,UK,United Kingdom,4,65+,6.437768240
2006,AT,Austria,1,0-4,0.000000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,3.623188406
2006,AT,Austria,4,65+,5.734767025
2006,BG,Bulgaria,1,0-4,66.666666667
2006,BG,Bulgaria,2,5-18,100.000000000
2006,BG,Bulgaria,3,19-64,64.285714286
2006,BG,Bulgaria,4,65+,47.368421053
2006,CZ,Czechia,1,0-4,34.375000000
2006,CZ,Czechia,2,5-18,21.428571429
2006,CZ,Czechia,3,19-64,40.598290598
2006,CZ,Czechia,4,65+,35.551948052
2006,DE,Germany,1,0-4,50.000000000
2006,DE,Germany,2,5-18,33.333333333
2006,DE,Germany,3,19-64,11.290322581
2006,DE,Germany,4,65+,9.210526316
2006,DK,Denmark,1,0-4,0.000000000
2006,DK,Denmark,2,5-18,0.000000000
2006,DK,Denmark,3,19-64,2.336448598
2006,DK,Denmark,4,65+,1.856763926
2006,EE,Estonia,1,0-4,11.111111111
2006,EE,Estonia,3,19-64,13.333333333
2006,EE,Estonia,4,65+,5.263157895
2006,ES,Spain,1,0-4,22.727272727
2006,ES,Spain,2,5-18,14.285714286
2006,ES,Spain,3,19-64,8.602150538
2006,ES,Spain,4,65+,3.625377644
2006,FI,Finland,1,0-4,0.000000000
2006,FI,Finland,2,5-18,0.000000000
2006,FI,Finland,3,19-64,0.000000000
2006,FI,Finland,4,65+,1.886792453
2006,FR,France,1,0-4,0.000000000
2006,FR,France,2,5-18,9.090909091
2006,FR,France,3,19-64,7.920792079
2006,FR,France,4,65+,4.271844660
2006,HR,Croatia,1,0-4,55.555555556
2006,HR,Croatia,2,5-18,50.000000000
2006,HR,Croatia,3,19-64,22.972972973
2006,HR,Croatia,4,65+,32.653061224
2006,HU,Hungary,1,0-4,18.750000000
2006,HU,Hungary,2,5-18,14.285714286
2006,HU,Hungary,3,19-64,25.874125874
2006,HU,Hungary,4,65+,13.432835821
2006,IE,Ireland,1,0-4,0.000000000
2006,IE,Ireland,2,5-18,0.000000000
2006,IE,Ireland,3,19-64,4.819277108
2006,IE,Ireland,4,65+,11.818181818
2006,IT,Italy,1,0-4,47.368421053
2006,IT,Italy,2,5-18,0.000000000
2006,IT,Italy,3,19-64,30.303030303
2006,IT,Italy,4,65+,19.531250000
2006,LT,Lithuania,1,0-4,50.000000000
2006,LT,Lithuania,2,5-18,0.000000000
2006,LT,Lithuania,3,19-64,17.647058824
2006,LT,Lithuania,4,65+,38.461538462
2006,LU,Luxembourg,3,19-64,0.000000000
2006,LU,Luxembourg,4,65+,0.000000000
2006,LV,Latvia,1,0-4,60.000000000
2006,LV,Latvia,3,19-64,17.647058824
2006,LV,Latvia,4,65+,16.666666667
2006,MT,Malta,1,0-4,0.000000000
2006,MT,Malta,2,5-18,0.000000000
2006,MT,Malta,3,19-64,7.142857143
2006,MT,Malta,4,65+,6.666666667
2006,NL,Netherlands,1,0-4,6.250000000
2006,NL,Netherlands,2,5-18,0.000000000
2006,NL,Netherlands,3,19-64,1.197604790
2006,NL,Netherlands,4,65+,4.980842912
2006,NO,Norway,1,0-4,0.000000000
2006,NO,Norway,2,5-18,0.000000000
2006,NO,Norway,3,19-64,0.000000000
2006,NO,Norway,4,65+,0.571428571
2006,PL,Poland,1,0-4,0.000000000
2006,PL,Poland,2,5-18,0.000000000
2006,PL,Poland,3,19-64,50.000000000
2006,PL,Poland,4,65+,31.250000000
2006,PT,Portugal,1,0-4,50.000000000
2006,PT,Portugal,2,5-18,0.000000000
2006,PT,Portugal,3,19-64,15.789473684
2006,PT,Portugal,4,65+,13.888888889
2006,RO,Romania,1,0-4,95.652173913
2006,RO,Romania,2,5-18,66.666666667
2006,RO,Romania,3,19-64,100.000000000
2006,RO,Romania,4,65+,100.000000000
2006,SE,Sweden,1,0-4,0.000000000
2006,SE,Sweden,2,5-18,0.000000000
2006,SE,Sweden,3,19-64,0.000000000
2006,SE,Sweden,4,65+,0.225733634
2006,SI,Slovenia,2,5-18,0.000000000
2006,SI,Slovenia,3,19-64,16.129032258
2006,SI,Slovenia,4,65+,18.584070796
2006,UK,United Kingdom,1,0-4,0.000000000
2006,UK,United Kingdom,2,5-18,0.000000000
2006,UK,United Kingdom,3,19-64,5.000000000
2006,UK,United Kingdom,4,65+,10.416666667
2007,AT,Austria,1,0-4,0.000000000
2007,AT,Austria,2,5-18,0.000000000
2007,AT,Austria,3,19-64,7.784431138
2007,AT,Austria,4,65+,4.119850187
2007,BG,Bulgaria,1,0-4,75.000000000
2007,BG,Bulgaria,3,19-64,72.727272727
2007,BG,Bulgaria,4,65+,42.857142857
2007,CY,Cyprus,1,0-4,0.000000000
2007,CY,Cyprus,2,5-18,100.000000000
2007,CY,Cyprus,3,19-64,20.000000000
2007,CY,Cyprus,4,65+,10.000000000
2007,CZ,Czechia,1,0-4,21.621621622
2007,CZ,Czechia,2,5-18,23.529411765
2007,CZ,Czechia,3,19-64,45.009416196
2007,CZ,Czechia,4,65+,40.465116279
2007,DE,Germany,1,0-4,0.000000000
