Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,0.000000000
2005,AT,Austria,4,65+,0.000000000
2005,BG,Bulgaria,1,0-4,0.000000000
2005,BG,Bulgaria,2,5-18,0.000000000
2005,BG,Bulgaria,3,19-64,0.000000000
2005,BG,Bulgaria,4,65+,0.000000000
2005,CZ,Czechia,1,0-4,0.000000000
2005,CZ,Czechia,3,19-64,0.000000000
2005,CZ,Czechia,4,65+,0.000000000
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,3.921568627
2005,DE,Germany,4,65+,0.000000000
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,3,19-64,0.000000000
2005,EE,Estonia,4,65+,0.000000000
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,0.000000000
2005,ES,Spain,4,65+,0.000000000
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,0.000000000
2005,FI,Finland,4,65+,0.000000000
2005,FR,France,1,0-4,0.000000000
2005,FR,France,2,5-18,0.000000000
2005,FR,France,3,19-64,0.302114804
2005,FR,France,4,65+,0.000000000
2005,HR,Croatia,1,0-4,0.000000000
2005,HR,Croatia,3,19-64,0.000000000
2005,HR,Croatia,4,65+,0.000000000
2005,HU,Hungary,1,0-4,0.000000000
2005,HU,Hungary,2,5-18,0.000000000
2005,HU,Hungary,3,19-64,0.740740741
2005,HU,Hungary,4,65+,0.000000000
2005,IE,Ireland,1,0-4,0.000000000
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,0.000000000
2005,IE,Ireland,4,65+,0.000000000
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,0.000000000
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,0.000000000
2005,NL,Netherlands,3,19-64,0.000000000
2005,NL,Netherlands,4,65+,0.000000000
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,3,19-64,2.222222222
2005,NO,Norway,4,65+,0.000000000
2005,PL,Poland,1,0-4,0.000000000
2005,PL,Poland,3,19-64,0.000000000
2005,PL,Poland,4,65+,0.000000000
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,0.000000000
2005,SI,Slovenia,4,65+,0.000000000
2005,UK,United Kingdom,1,0-4,0.000000000
2005,UK,United Kingdom,2,5-18,0.000000000
2005,UK,United Kingdom,3,19-64,0.000000000
2005,UK,United Kingdom,4,65+,0.000000000
2006,AT,Austria,1,0-4,0.000000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,0.000000000
2006,AT,Austria,4,65+,0.000000000
2006,BG,Bulgaria,1,0-4,0.000000000
2006,BG,Bulgaria,2,5-18,0.000000000
