Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,10.869565217
2005,AT,Austria,4,65+,12.195121951
2005,BG,Bulgaria,1,0-4,0.000000000
2005,BG,Bulgaria,2,5-18,0.000000000
2005,BG,Bulgaria,3,19-64,25.000000000
2005,BG,Bulgaria,4,65+,36.363636364
2005,CZ,Czechia,1,0-4,19.230769231
2005,CZ,Czechia,2,5-18,40.000000000
2005,CZ,Czechia,3,19-64,43.203883495
2005,CZ,Czechia,4,65+,35.684647303
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,11.320754717
2005,DE,Germany,4,65+,0.000000000
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,3,19-64,0.000000000
2005,EE,Estonia,4,65+,0.000000000
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,5.000000000
2005,ES,Spain,4,65+,14.705882353
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,5.769230769
2005,FI,Finland,4,65+,2.083333333
2005,FR,France,1,0-4,4.166666667
2005,FR,France,2,5-18,9.090909091
2005,FR,France,3,19-64,8.241758242
2005,FR,France,4,65+,6.392694064
2005,HR,Croatia,1,0-4,0.000000000
2005,HR,Croatia,3,19-64,26.000000000
2005,HR,Croatia,4,65+,21.212121212
2005,HU,Hungary,1,0-4,0.000000000
2005,HU,Hungary,2,5-18,0.000000000
2005,HU,Hungary,3,19-64,25.984251969
2005,HU,Hungary,4,65+,18.705035971
2005,IE,Ireland,1,0-4,0.000000000
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,0.000000000
2005,IE,Ireland,4,65+,3.333333333
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,0.000000000
2005,IT,Italy,1,0-4,6.666666667
2005,IT,Italy,2,5-18,50.000000000
2005,IT,Italy,3,19-64,16.455696203
2005,IT,Italy,4,65+,12.605042017
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,33.333333333
2005,NL,Netherlands,3,19-64,8.035714286
2005,NL,Netherlands,4,65+,4.242424242
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,3,19-64,2.173913043
2005,NO,Norway,4,65+,0.806451613
2005,PL,Poland,1,0-4,9.090909091
2005,PL,Poland,3,19-64,45.833333333
2005,PL,Poland,4,65+,33.333333333
2005,SE,Sweden,1,0-4,0.000000000
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,5.263157895
2005,SE,Sweden,4,65+,5.050505051
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,29.629629630
2005,SI,Slovenia,4,65+,7.500000000
2005,UK,United Kingdom,1,0-4,0.000000000
