Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,6.666666667
2005,AT,Austria,4,65+,4.761904762
2005,BG,Bulgaria,1,0-4,50.000000000
2005,BG,Bulgaria,2,5-18,100.000000000
2005,BG,Bulgaria,3,19-64,60.000000000
2005,BG,Bulgaria,4,65+,27.272727273
2005,CZ,Czechia,1,0-4,34.615384615
2005,CZ,Czechia,2,5-18,20.000000000
2005,CZ,Czechia,3,19-64,34.951456311
2005,CZ,Czechia,4,65+,30.290456432
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,11.538461538
2005,DE,Germany,4,65+,2.083333333
2005,EE,Estonia,1,0-4,16.666666667
2005,EE,Estonia,3,19-64,5.882352941
2005,EE,Estonia,4,65+,7.142857143
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,5.000000000
2005,ES,Spain,4,65+,8.823529412
2005,FI,Finland,1,0-4,33.333333333
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,3.125000000
2005,FI,Finland,4,65+,0.961538462
2005,FR,France,1,0-4,4.166666667
2005,FR,France,2,5-18,10.000000000
2005,FR,France,3,19-64,5.509641873
2005,FR,France,4,65+,2.816901408
2005,HR,Croatia,1,0-4,70.370370370
2005,HR,Croatia,3,19-64,38.000000000
2005,HR,Croatia,4,65+,37.142857143
2005,HU,Hungary,1,0-4,44.444444444
2005,HU,Hungary,2,5-18,0.000000000
2005,HU,Hungary,3,19-64,32.857142857
2005,HU,Hungary,4,65+,21.052631579
2005,IE,Ireland,1,0-4,100.000000000
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,0.000000000
2005,IE,Ireland,4,65+,6.451612903
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,0.000000000
2005,IT,Italy,1,0-4,75.000000000
2005,IT,Italy,2,5-18,50.000000000
2005,IT,Italy,3,19-64,22.471910112
2005,IT,Italy,4,65+,15.037593985
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,66.666666667
2005,NL,Netherlands,3,19-64,5.154639175
2005,NL,Netherlands,4,65+,2.054794521
2005,NO,Norway,1,0-4,50.000000000
2005,NO,Norway,3,19-64,4.081632653
2005,NO,Norway,4,65+,0.704225352
2005,PL,Poland,1,0-4,90.909090909
2005,PL,Poland,3,19-64,70.833333333
2005,PL,Poland,4,65+,44.444444444
2005,SE,Sweden,1,0-4,16.666666667
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,3.508771930
