Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,8.823529412
2005,AT,Austria,4,65+,4.878048780
2005,BG,Bulgaria,1,0-4,33.333333333
2005,BG,Bulgaria,3,19-64,52.631578947
2005,BG,Bulgaria,4,65+,58.333333333
2005,CZ,Czechia,1,0-4,5.263157895
2005,CZ,Czechia,2,5-18,0.000000000
2005,CZ,Czechia,3,19-64,28.712871287
2005,CZ,Czechia,4,65+,32.075471698
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,18.644067797
2005,DE,Germany,4,65+,6.521739130
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,50.000000000
2005,EE,Estonia,3,19-64,35.714285714
2005,EE,Estonia,4,65+,22.222222222
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,9.677419355
2005,ES,Spain,4,65+,0.000000000
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,15.789473684
2005,FI,Finland,4,65+,8.333333333
2005,FR,France,1,0-4,0.000000000
2005,FR,France,2,5-18,10.000000000
2005,FR,France,3,19-64,24.349881797
2005,FR,France,4,65+,20.990099010
2005,HR,Croatia,1,0-4,50.000000000
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,40.000000000
2005,HR,Croatia,4,65+,30.303030303
2005,HU,Hungary,1,0-4,17.647058824
2005,HU,Hungary,2,5-18,22.222222222
2005,HU,Hungary,3,19-64,37.686567164
2005,HU,Hungary,4,65+,26.066350711
2005,IE,Ireland,1,0-4,100.000000000
2005,IE,Ireland,3,19-64,7.692307692
2005,IE,Ireland,4,65+,0.000000000
2005,MT,Malta,1,0-4,0.000000000
2005,MT,Malta,2,5-18,0.000000000
2005,MT,Malta,3,19-64,16.666666667
2005,MT,Malta,4,65+,16.666666667
2005,NL,Netherlands,1,0-4,12.500000000
2005,NL,Netherlands,2,5-18,16.666666667
2005,NL,Netherlands,3,19-64,9.589041096
2005,NL,Netherlands,4,65+,4.065040650
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,3,19-64,0.000000000
2005,NO,Norway,4,65+,0.000000000
2005,PL,Poland,1,0-4,20.000000000
2005,PL,Poland,3,19-64,80.000000000
2005,PL,Poland,4,65+,50.000000000
2005,SE,Sweden,1,0-4,0.000000000
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,0.000000000
2005,SE,Sweden,4,65+,0.000000000
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,18.750000000
2005,SI,Slovenia,4,65+,20.000000000
2005,UK,United Kingdom,1,0-4,7.692307692
2005,UK,United Kingdom,2,5-18,0.000000000
2005,UK,United Kingdom,3,19-64,5.072463768
2005,UK,United Kingdom,4,65+,2.145922747
2006,AT,Austria,1,0-4,12.500000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,13.422818792
2006,AT,Austria,4,65+,6.837606838
2006,BG,Bulgaria,1,0-4,0.000000000
2006,BG,Bulgaria,2,5-18,0.000000000
2006,BG,Bulgaria,3,19-64,47.619047619
2006,BG,Bulgaria,4,65+,42.857142857
2006,CZ,Czechia,1,0-4,0.000000000
2006,CZ,Czechia,2,5-18,16.666666667
2006,CZ,Czechia,3,19-64,32.093023256
2006,CZ,Czechia,4,65+,28.888888889
2006,DE,Germany,1,0-4,12.500000000
2006,DE,Germany,2,5-18,0.000000000
2006,DE,Germany,3,19-64,21.590909091
2006,DE,Germany,4,65+,14.516129032
2006,EE,Estonia,1,0-4,0.000000000
