Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,14.705882353
2005,AT,Austria,4,65+,7.317073171
2005,BG,Bulgaria,1,0-4,0.000000000
2005,BG,Bulgaria,3,19-64,27.777777778
2005,BG,Bulgaria,4,65+,58.333333333
2005,CZ,Czechia,1,0-4,5.000000000
2005,CZ,Czechia,2,5-18,20.000000000
2005,CZ,Czechia,3,19-64,34.513274336
2005,CZ,Czechia,4,65+,32.773109244
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,33.333333333
2005,DE,Germany,3,19-64,35.593220339
2005,DE,Germany,4,65+,15.217391304
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,100.000000000
2005,EE,Estonia,3,19-64,68.750000000
2005,EE,Estonia,4,65+,5.882352941
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,25.806451613
2005,ES,Spain,4,65+,11.428571429
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,20.512820513
2005,FI,Finland,4,65+,12.280701754
2005,FR,France,1,0-4,0.000000000
2005,FR,France,2,5-18,15.789473684
2005,FR,France,3,19-64,19.399538106
2005,FR,France,4,65+,10.412573674
2005,HR,Croatia,1,0-4,50.000000000
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,25.714285714
2005,HR,Croatia,4,65+,21.212121212
2005,HU,Hungary,1,0-4,22.222222222
2005,HU,Hungary,2,5-18,33.333333333
2005,HU,Hungary,3,19-64,21.509433962
2005,HU,Hungary,4,65+,13.235294118
2005,IE,Ireland,1,0-4,0.000000000
2005,IE,Ireland,3,19-64,23.076923077
2005,IE,Ireland,4,65+,0.000000000
2005,MT,Malta,1,0-4,0.000000000
2005,MT,Malta,2,5-18,0.000000000
2005,MT,Malta,3,19-64,29.166666667
2005,MT,Malta,4,65+,5.555555556
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,16.666666667
2005,NL,Netherlands,3,19-64,5.970149254
2005,NL,Netherlands,4,65+,3.773584906
2005,NO,Norway,1,0-4,33.333333333
2005,NO,Norway,3,19-64,3.846153846
2005,NO,Norway,4,65+,1.724137931
2005,PL,Poland,1,0-4,20.000000000
2005,PL,Poland,3,19-64,30.000000000
2005,PL,Poland,4,65+,27.272727273
2005,SE,Sweden,1,0-4,0.000000000
2005,SE,Sweden,2,5-18,50.000000000
2005,SE,Sweden,3,19-64,18.181818182
2005,SE,Sweden,4,65+,16.279069767
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,12.500000000
2005,SI,Slovenia,4,65+,15.000000000
2005,UK,United Kingdom,1,0-4,0.000000000
2005,UK,United Kingdom,2,5-18,40.000000000
2005,UK,United Kingdom,3,19-64,15.447154472
2005,UK,United Kingdom,4,65+,4.716981132
2006,AT,Austria,1,0-4,12.500000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,19.727891156
2006,AT,Austria,4,65+,12.288135593
2006,BG,Bulgaria,2,5-18,0.000000000
2006,BG,Bulgaria,3,19-64,15.000000000
2006,BG,Bulgaria,4,65+,14.285714286
2006,CZ,Czechia,1,0-4,12.500000000
2006,CZ,Czechia,2,5-18,0.000000000
2006,CZ,Czechia,3,19-64,34.334763948
2006,CZ,Czechia,4,65+,32.644628099
2006,DE,Germany,1,0-4,25.000000000
2006,DE,Germany,2,5-18,0.000000000
2006,DE,Germany,3,19-64,20.454545455
2006,DE,Germany,4,65+,11.290322581
2006,EE,Estonia,1,0-4,50.000000000
2006,EE,Estonia,2,5-18,0.000000000
