Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,9.090909091
2005,AT,Austria,4,65+,4.878048780
2005,BG,Bulgaria,1,0-4,0.000000000
2005,BG,Bulgaria,3,19-64,42.105263158
2005,BG,Bulgaria,4,65+,63.636363636
2005,CZ,Czechia,1,0-4,5.000000000
2005,CZ,Czechia,2,5-18,20.000000000
2005,CZ,Czechia,3,19-64,42.477876106
2005,CZ,Czechia,4,65+,43.697478992
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,33.333333333
2005,DE,Germany,3,19-64,10.344827586
2005,DE,Germany,4,65+,11.627906977
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,50.000000000
2005,EE,Estonia,3,19-64,31.250000000
2005,EE,Estonia,4,65+,5.555555556
2005,ES,Spain,1,0-4,33.333333333
2005,ES,Spain,3,19-64,9.677419355
2005,ES,Spain,4,65+,0.000000000
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,9.523809524
2005,FI,Finland,4,65+,1.562500000
2005,FR,France,1,0-4,0.000000000
2005,FR,France,2,5-18,11.111111111
2005,FR,France,3,19-64,11.029411765
2005,FR,France,4,65+,6.593406593
2005,HR,Croatia,1,0-4,0.000000000
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,5.882352941
2005,HR,Croatia,4,65+,6.060606061
2005,HU,Hungary,1,0-4,16.666666667
2005,HU,Hungary,2,5-18,11.111111111
2005,HU,Hungary,3,19-64,13.257575758
2005,HU,Hungary,4,65+,5.714285714
2005,IE,Ireland,1,0-4,0.000000000
2005,IE,Ireland,3,19-64,14.285714286
2005,IE,Ireland,4,65+,0.000000000
2005,MT,Malta,1,0-4,0.000000000
2005,MT,Malta,2,5-18,0.000000000
2005,MT,Malta,3,19-64,16.666666667
2005,MT,Malta,4,65+,5.555555556
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,16.666666667
2005,NL,Netherlands,3,19-64,6.849315068
2005,NL,Netherlands,4,65+,4.098360656
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,3,19-64,0.000000000
2005,NO,Norway,4,65+,4.615384615
2005,PL,Poland,1,0-4,20.000000000
2005,PL,Poland,3,19-64,30.000000000
2005,PL,Poland,4,65+,36.363636364
2005,SE,Sweden,1,0-4,0.000000000
2005,SE,Sweden,2,5-18,33.333333333
2005,SE,Sweden,3,19-64,6.250000000
2005,SE,Sweden,4,65+,3.603603604
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,18.750000000
2005,SI,Slovenia,4,65+,5.000000000
2005,UK,United Kingdom,1,0-4,0.000000000
2005,UK,United Kingdom,2,5-18,22.222222222
2005,UK,United Kingdom,3,19-64,4.545454545
2005,UK,United Kingdom,4,65+,2.232142857
2006,AT,Austria,1,0-4,0.000000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,9.285714286
2006,AT,Austria,4,65+,9.302325581
2006,BG,Bulgaria,1,0-4,0.000000000
2006,BG,Bulgaria,2,5-18,0.000000000
2006,BG,Bulgaria,3,19-64,4.761904762
2006,BG,Bulgaria,4,65+,50.000000000
2006,CZ,Czechia,1,0-4,12.500000000
2006,CZ,Czechia,2,5-18,16.666666667
2006,CZ,Czechia,3,19-64,32.478632479
2006,CZ,Czechia,4,65+,29.460580913
2006,DE,Germany,1,0-4,25.000000000
2006,DE,Germany,2,5-18,0.000000000
2006,DE,Germany,3,19-64,12.500000000
2006,DE,Germany,4,65+,9.677419355
2006,EE,Estonia,1,0-4,0.000000000
