Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,12.121212121
2005,AT,Austria,4,65+,2.631578947
2005,BG,Bulgaria,3,19-64,42.857142857
2005,BG,Bulgaria,4,65+,66.666666667
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,33.333333333
2005,DE,Germany,3,19-64,14.545454545
2005,DE,Germany,4,65+,12.195121951
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,50.000000000
2005,EE,Estonia,3,19-64,50.000000000
2005,EE,Estonia,4,65+,6.250000000
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,9.677419355
2005,ES,Spain,4,65+,0.000000000
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,26.666666667
2005,FI,Finland,4,65+,8.695652174
2005,FR,France,1,0-4,0.000000000
2005,FR,France,2,5-18,12.500000000
2005,FR,France,3,19-64,14.012738854
2005,FR,France,4,65+,12.169312169
2005,HR,Croatia,1,0-4,50.000000000
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,29.411764706
2005,HR,Croatia,4,65+,18.750000000
2005,HU,Hungary,1,0-4,8.333333333
2005,HU,Hungary,2,5-18,16.666666667
2005,HU,Hungary,3,19-64,21.818181818
2005,HU,Hungary,4,65+,11.347517730
2005,IE,Ireland,1,0-4,0.000000000
2005,IE,Ireland,3,19-64,15.384615385
2005,IE,Ireland,4,65+,0.000000000
2005,MT,Malta,1,0-4,0.000000000
2005,MT,Malta,2,5-18,0.000000000
2005,MT,Malta,3,19-64,12.500000000
2005,MT,Malta,4,65+,16.666666667
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,25.000000000
2005,NL,Netherlands,3,19-64,10.638297872
2005,NL,Netherlands,4,65+,9.756097561
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,3,19-64,0.000000000
2005,NO,Norway,4,65+,0.000000000
2005,PL,Poland,1,0-4,20.000000000
2005,PL,Poland,3,19-64,40.000000000
2005,PL,Poland,4,65+,50.000000000
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,25.000000000
2005,SI,Slovenia,4,65+,10.526315789
2005,UK,United Kingdom,1,0-4,0.000000000
2005,UK,United Kingdom,2,5-18,0.000000000
2005,UK,United Kingdom,3,19-64,1.388888889
2005,UK,United Kingdom,4,65+,1.818181818
2006,AT,Austria,1,0-4,0.000000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,12.173913043
2006,AT,Austria,4,65+,7.428571429
2006,BG,Bulgaria,2,5-18,0.000000000
2006,BG,Bulgaria,3,19-64,7.142857143
2006,BG,Bulgaria,4,65+,20.000000000
2006,DE,Germany,1,0-4,14.285714286
2006,DE,Germany,2,5-18,0.000000000
2006,DE,Germany,3,19-64,12.345679012
2006,DE,Germany,4,65+,12.000000000
2006,EE,Estonia,1,0-4,0.000000000
2006,EE,Estonia,2,5-18,0.000000000
2006,EE,Estonia,3,19-64,10.526315789
2006,EE,Estonia,4,65+,0.000000000
2006,ES,Spain,1,0-4,0.000000000
2006,ES,Spain,2,5-18,0.000000000
2006,ES,Spain,3,19-64,7.792207792
2006,ES,Spain,4,65+,5.769230769
2006,FI,Finland,1,0-4,0.000000000
2006,FI,Finland,2,5-18,0.000000000
2006,FI,Finland,3,19-64,14.285714286
2006,FI,Finland,4,65+,4.807692308
2006,FR,France,1,0-4,0.000000000
2006,FR,France,2,5-18,0.000000000
2006,FR,France,3,19-64,11.834319527
2006,FR,France,4,65+,8.767123288
2006,HR,Croatia,1,0-4,66.666666667
