Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,23.529411765
2005,AT,Austria,4,65+,7.317073171
2005,BG,Bulgaria,1,0-4,0.000000000
2005,BG,Bulgaria,3,19-64,47.368421053
2005,BG,Bulgaria,4,65+,58.333333333
2005,CZ,Czechia,1,0-4,0.000000000
2005,CZ,Czechia,2,5-18,20.000000000
2005,CZ,Czechia,3,19-64,48.672566372
2005,CZ,Czechia,4,65+,50.847457627
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,29.310344828
2005,DE,Germany,4,65+,20.000000000
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,0.000000000
2005,EE,Estonia,3,19-64,18.750000000
2005,EE,Estonia,4,65+,11.111111111
2005,ES,Spain,1,0-4,0.000000000
2005,ES,Spain,3,19-64,12.903225806
2005,ES,Spain,4,65+,17.142857143
2005,FI,Finland,1,0-4,0.000000000
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,21.621621622
2005,FI,Finland,4,65+,12.280701754
2005,FR,France,1,0-4,0.000000000
2005,FR,France,2,5-18,0.000000000
2005,FR,France,3,19-64,27.126436782
2005,FR,France,4,65+,28.458498024
2005,HR,Croatia,1,0-4,50.000000000
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,37.142857143
2005,HR,Croatia,4,65+,31.250000000
2005,HU,Hungary,1,0-4,18.750000000
2005,HU,Hungary,2,5-18,11.111111111
2005,HU,Hungary,3,19-64,32.160804020
2005,HU,Hungary,4,65+,24.242424242
2005,IE,Ireland,1,0-4,0.000000000
2005,IE,Ireland,3,19-64,21.428571429
2005,IE,Ireland,4,65+,0.000000000
2005,MT,Malta,1,0-4,50.000000000
2005,MT,Malta,2,5-18,100.000000000
2005,MT,Malta,3,19-64,37.500000000
2005,MT,Malta,4,65+,50.000000000
2005,NL,Netherlands,1,0-4,0.000000000
2005,NL,Netherlands,2,5-18,16.666666667
2005,NL,Netherlands,3,19-64,14.492753623
2005,NL,Netherlands,4,65+,5.982905983
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,3,19-64,3.846153846
2005,NO,Norway,4,65+,5.000000000
2005,PL,Poland,1,0-4,0.000000000
2005,PL,Poland,3,19-64,50.000000000
2005,PL,Poland,4,65+,27.272727273
2005,SE,Sweden,1,0-4,0.000000000
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,10.000000000
2005,SE,Sweden,4,65+,5.102040816
2005,SI,Slovenia,1,0-4,0.000000000
2005,SI,Slovenia,2,5-18,0.000000000
2005,SI,Slovenia,3,19-64,31.250000000
2005,SI,Slovenia,4,65+,30.000000000
2005,UK,United Kingdom,1,0-4,0.000000000
2005,UK,United Kingdom,2,5-18,0.000000000
2005,UK,United Kingdom,3,19-64,12.949640288
2005,UK,United Kingdom,4,65+,6.324110672
2006,AT,Austria,1,0-4,0.000000000
2006,AT,Austria,2,5-18,0.000000000
2006,AT,Austria,3,19-64,16.083916084
2006,AT,Austria,4,65+,15.086206897
2006,BG,Bulgaria,1,0-4,0.000000000
2006,BG,Bulgaria,2,5-18,0.000000000
2006,BG,Bulgaria,3,19-64,14.285714286
2006,BG,Bulgaria,4,65+,28.571428571
2006,CZ,Czechia,1,0-4,0.000000000
2006,CZ,Czechia,2,5-18,16.666666667
2006,CZ,Czechia,3,19-64,50.427350427
2006,CZ,Czechia,4,65+,46.694214876
2006,DE,Germany,1,0-4,25.000000000
2006,DE,Germany,2,5-18,0.000000000
2006,DE,Germany,3,19-64,34.090909091
2006,DE,Germany,4,65+,21.311475410
2006,EE,Estonia,1,0-4,0.000000000
