Time,RegionCode,RegionName,CategoryIndex,Category,Value
2000,AT,Austria,1,0-4,0.000000000
2000,AT,Austria,2,5-18,21.052631579
2000,AT,Austria,3,19-64,15.343915344
2000,AT,Austria,4,65+,21.518987342
2000,BE,Belgium,1,0-4,21.052631579
2000,BE,Belgium,2,5-18,0.000000000
2000,BE,Belgium,3,19-64,14.285714286
2000,BE,Belgium,4,65+,25.857519789
2000,BG,Bulgaria,1,0-4,33.333333333
2000,BG,Bulgaria,2,5-18,16.666666667
2000,BG,Bulgaria,3,19-64,41.818181818
2000,BG,Bulgaria,4,65+,34.782608696
2000,CZ,Czechia,1,0-4,0.000000000
2000,CZ,Czechia,2,5-18,0.000000000
2000,CZ,Czechia,3,19-64,4.564315353
2000,CZ,Czechia,4,65+,4.803493450
2000,DE,Germany,1,0-4,6.896551724
2000,DE,Germany,2,5-18,16.666666667
2000,DE,Germany,3,19-64,10.483870968
2000,DE,Germany,4,65+,14.105263158
2000,DK,Denmark,1,0-4,0.000000000
2000,DK,Denmark,2,5-18,0.000000000
2000,DK,Denmark,3,19-64,0.502512563
2000,DK,Denmark,4,65+,0.000000000
2000,ES,Spain,1,0-4,8.108108108
2000,ES,Spain,2,5-18,13.333333333
2000,ES,Spain,3,19-64,31.073446328
2000,ES,Spain,4,65+,31.116389549
2000,FI,Finland,1,0-4,0.000000000
2000,FI,Finland,2,5-18,0.000000000
2000,FI,Finland,3,19-64,1.418439716
2000,FI,Finland,4,65+,1.785714286
2000,IE,Ireland,1,0-4,3.030303030
2000,IE,Ireland,2,5-18,3.448275862
2000,IE,Ireland,3,19-64,30.612244898
2000,IE,Ireland,4,65+,56.000000000
2000,IS,Iceland,1,0-4,0.000000000
2000,IS,Iceland,2,5-18,0.000000000
2000,IS,Iceland,3,19-64,0.000000000
2000,IS,Iceland,4,65+,7.692307692
2000,IT,Italy,1,0-4,0.000000000
2000,IT,Italy,2,5-18,0.000000000
2000,IT,Italy,3,19-64,37.433155080
2000,IT,Italy,4,65+,47.236180905
2000,LU,Luxembourg,1,0-4,12.500000000
2000,LU,Luxembourg,2,5-18,0.000000000
2000,LU,Luxembourg,3,19-64,22.580645161
2000,LU,Luxembourg,4,65+,15.384615385
2000,MT,Malta,1,0-4,0.000000000
2000,MT,Malta,2,5-18,0.000000000
2000,MT,Malta,3,19-64,31.578947368
2000,MT,Malta,4,65+,57.692307692
2000,NL,Netherlands,1,0-4,0.000000000
2000,NL,Netherlands,2,5-18,0.000000000
2000,NL,Netherlands,3,19-64,0.243902439
2000,NL,Netherlands,4,65+,0.344234079
2000,NO,Norway,1,0-4,0.000000000
2000,NO,Norway,2,5-18,0.000000000
2000,NO,Norway,3,19-64,0.000000000
2000,NO,Norway,4,65+,0.000000000
2000,PT,Portugal,1,0-4,0.000000000
2000,PT,Portugal,2,5-18,33.333333333
2000,PT,Portugal,3,19-64,15.942028986
2000,PT,Portugal,4,65+,33.962264151
2000,SE,Sweden,1,0-4,0.000000000
2000,SE,Sweden,2,5-18,0.000000000
2000,SE,Sweden,3,19-64,0.548446069
