Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,23.333333333
2005,AT,Austria,2,5-18,12.500000000
2005,AT,Austria,3,19-64,11.764705882
2005,AT,Austria,4,65+,12.711864407
2005,BE,Belgium,1,0-4,46.278317152
2005,BE,Belgium,2,5-18,17.283950617
2005,BE,Belgium,3,19-64,21.399176955
2005,BE,Belgium,4,65+,33.333333333
2005,BG,Bulgaria,1,0-4,50.000000000
2005,BG,Bulgaria,2,5-18,0.000000000
2005,BG,Bulgaria,3,19-64,0.000000000
2005,BG,Bulgaria,4,65+,16.666666667
2005,CZ,Czechia,1,0-4,6.250000000
2005,CZ,Czechia,2,5-18,14.285714286
2005,CZ,Czechia,3,19-64,1.834862385
2005,CZ,Czechia,4,65+,0.000000000
2005,DE,Germany,1,0-4,25.000000000
2005,DE,Germany,2,5-18,33.333333333
2005,DE,Germany,3,19-64,15.625000000
2005,DE,Germany,4,65+,13.559322034
2005,DK,Denmark,1,0-4,12.195121951
2005,DK,Denmark,2,5-18,7.407407407
2005,DK,Denmark,3,19-64,4.901960784
2005,DK,Denmark,4,65+,5.141843972
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,0.000000000
2005,EE,Estonia,3,19-64,0.000000000
2005,EE,Estonia,4,65+,0.000000000
2005,ES,Spain,1,0-4,35.238095238
2005,ES,Spain,2,5-18,8.823529412
2005,ES,Spain,3,19-64,19.191919192
2005,ES,Spain,4,65+,22.413793103
2005,FI,Finland,1,0-4,32.812500000
2005,FI,Finland,2,5-18,7.692307692
2005,FI,Finland,3,19-64,16.371681416
2005,FI,Finland,4,65+,18.439716312
2005,FR,France,1,0-4,47.133757962
2005,FR,France,2,5-18,23.333333333
2005,FR,France,3,19-64,37.765957447
2005,FR,France,4,65+,43.049327354
2005,HR,Croatia,1,0-4,55.555555556
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,13.793103448
2005,HR,Croatia,4,65+,12.000000000
2005,HU,Hungary,1,0-4,46.666666667
2005,HU,Hungary,2,5-18,55.555555556
2005,HU,Hungary,3,19-64,24.637681159
2005,HU,Hungary,4,65+,27.272727273
2005,IE,Ireland,1,0-4,16.981132075
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,9.489051095
2005,IE,Ireland,4,65+,12.643678161
2005,IS,Iceland,1,0-4,44.444444444
2005,IS,Iceland,2,5-18,100.000000000
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,7.692307692
2005,IT,Italy,1,0-4,33.333333333
2005,IT,Italy,2,5-18,10.000000000
2005,IT,Italy,3,19-64,18.292682927
