Time,RegionCode,RegionName,CategoryIndex,Category,Value
2005,AT,Austria,1,0-4,0.000000000
2005,AT,Austria,2,5-18,0.000000000
2005,AT,Austria,3,19-64,0.000000000
2005,AT,Austria,4,65+,1.492537313
2005,BE,Belgium,1,0-4,3.236245955
2005,BE,Belgium,2,5-18,0.000000000
2005,BE,Belgium,3,19-64,1.646090535
2005,BE,Belgium,4,65+,3.318250377
2005,BG,Bulgaria,1,0-4,100.000000000
2005,BG,Bulgaria,2,5-18,0.000000000
2005,BG,Bulgaria,3,19-64,28.000000000
2005,BG,Bulgaria,4,65+,30.769230769
2005,CZ,Czechia,1,0-4,0.000000000
2005,CZ,Czechia,2,5-18,0.000000000
2005,CZ,Czechia,3,19-64,0.000000000
2005,CZ,Czechia,4,65+,0.000000000
2005,DE,Germany,1,0-4,0.000000000
2005,DE,Germany,2,5-18,0.000000000
2005,DE,Germany,3,19-64,0.000000000
2005,DE,Germany,4,65+,0.000000000
2005,DK,Denmark,1,0-4,1.219512195
2005,DK,Denmark,2,5-18,0.000000000
2005,DK,Denmark,3,19-64,0.490196078
2005,DK,Denmark,4,65+,0.886524823
2005,EE,Estonia,1,0-4,0.000000000
2005,EE,Estonia,2,5-18,0.000000000
2005,EE,Estonia,3,19-64,0.000000000
2005,EE,Estonia,4,65+,0.000000000
2005,ES,Spain,1,0-4,9.345794393
2005,ES,Spain,2,5-18,0.000000000
2005,ES,Spain,3,19-64,8.695652174
2005,ES,Spain,4,65+,10.921501706
2005,FI,Finland,1,0-4,3.658536585
2005,FI,Finland,2,5-18,0.000000000
2005,FI,Finland,3,19-64,0.380228137
2005,FI,Finland,4,65+,0.602409639
2005,FR,France,1,0-4,3.821656051
2005,FR,France,2,5-18,0.000000000
2005,FR,France,3,19-64,5.319148936
2005,FR,France,4,65+,6.278026906
2005,HR,Croatia,1,0-4,0.000000000
2005,HR,Croatia,2,5-18,0.000000000
2005,HR,Croatia,3,19-64,0.000000000
2005,HR,Croatia,4,65+,0.000000000
2005,HU,Hungary,1,0-4,0.000000000
2005,HU,Hungary,2,5-18,11.111111111
2005,HU,Hungary,3,19-64,5.479452055
2005,HU,Hungary,4,65+,0.000000000
2005,IE,Ireland,1,0-4,1.694915254
2005,IE,Ireland,2,5-18,0.000000000
2005,IE,Ireland,3,19-64,2.027027027
2005,IE,Ireland,4,65+,3.932584270
2005,IS,Iceland,1,0-4,0.000000000
2005,IS,Iceland,2,5-18,0.000000000
2005,IS,Iceland,3,19-64,0.000000000
2005,IS,Iceland,4,65+,0.000000000
2005,IT,Italy,1,0-4,0.000000000
2005,IT,Italy,2,5-18,0.000000000
2005,IT,Italy,3,19-64,6.521739130
2005,IT,Italy,4,65+,3.906250000
2005,LU,Luxembourg,1,0-4,0.000000000
2005,LU,Luxembourg,2,5-18,0.000000000
2005,LU,Luxembourg,3,19-64,5.000000000
2005,LU,Luxembourg,4,65+,14.285714286
2005,LV,Latvia,1,0-4,0.000000000
2005,LV,Latvia,2,5-18,0.000000000
2005,LV,Latvia,3,19-64,0.000000000
2005,LV,Latvia,4,65+,0.000000000
2005,NL,Netherlands,1,0-4,2.898550725
2005,NL,Netherlands,2,5-18,0.000000000
2005,NL,Netherlands,3,19-64,0.000000000
2005,NL,Netherlands,4,65+,0.272479564
2005,NO,Norway,1,0-4,0.000000000
2005,NO,Norway,2,5-18,0.000000000
2005,NO,Norway,3,19-64,0.858369099
2005,NO,Norway,4,65+,0.996677741
2005,PT,Portugal,1,0-4,0.000000000
2005,PT,Portugal,2,5-18,0.000000000
2005,PT,Portugal,3,19-64,0.000000000
2005,PT,Portugal,4,65+,0.000000000
2005,SE,Sweden,1,0-4,0.000000000
2005,SE,Sweden,2,5-18,0.000000000
2005,SE,Sweden,3,19-64,0.717703349
2005,SE,Sweden,4,65+,0.386847195
